Title,Price,Sold,Reviews,Condition,Brand,Power Source,Material,Voltage,Model,Color,Features,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,Binding,Item Depth,Returns,Manufacturer Part Number,Manufacturer,Type,Item Height,Item Weight,Prop65_fl,Prop65Warning,Number of Heat Settings,PackageQuantityCASuggestion,EAN,Heating Element Format,Heating Element Material,Tank Capacity,BTU Heating Rating,Control Style,Heating System,Annual Fuel Utilization Efficiency (AFUE),Mounting Location,Operating Sound Rating,Timer Control,Year Manufactured,Smart Home Compatibility,Energy Star,Energy Efficiency Ratio (EER),Area Covered,EC Range,Power,PackQty,Heating Wattage,Height,Cable Length,Colour,GTIN,Size,SHIPPING,RETURN,ITEM LOCATION,International buyers,Custom Bundle,Current Rating,Air Direction,Warranty,VAT,Width,Depth,ISBN,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,Heater Controls,Automatic shutoff,Product Weight (lb),Installation,Heater Type,Timer Included,Color Family,Product Width (in),Anti-freeze setting,Indoor/Outdoor,ACLI Safety Plug,Product Height (in),Thermostat,Wattage (watts),Product Depth (in),Amperage (amps),Heat Output (BTU/hour),Heating Technology Type,Certifications and Listings,Included Components,Item model number,Product Dimensions,Is Discontinued By Manufacturer,Import Designation,Batteries Required?,Assembly Required,Heating Method,Item Dimensions LxWxH,Country of Origin,Frame Material,Amperage,eBay Durapower Store Category,Tonnage,Power/Fuel Type,Area Heated (Sq Ft),Heat rating (BTU/hour),Bulb Type,Mount Location,Room Size,Portable Heater Features,Heating Product Type,Product Length (in),Department,Portable Heater Safety Features,Cord Length (in),Power Options,Voltage (volts),Warranty Description,Number of Pieces,Batteries Required,Is Assembly Required?,item_length,item_width,Battery Size,Number of Batteries,Battery Life,Motor Type,Battery Included,Bundle Description,Weight,Battery Capacity,Length,Heater Style,Resistance Properties,Style Name,Global Brand License,Home Decor Style,Theme,Price Per Unit UOM,Fuel Type,Count Per Pack,Finish,Number of Burners,Seating Capacity,Product Name,Number of Drawers,Recommended Room,Count,Age Group,Watts,Color Category,Gender,Is Assembly Required,PPU Quantity of Units,Number of Shelves,Piece Count,Mount Type,Multipack Quantity,Number of Customer Ratings,Baseboard Heating Type,Hydronic,Vented,Model No.,Item Weight ‏,manufacturer_part_number,Compressor Type,Product Type,Item Weight Major,SKU,Heating Element,Maximum Heat Power,Minimum Heat Power,Product Model,Pattern Name,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,room_size,heater_type,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,heat_rating_btu_hour,pack_size,amperage_amps,voltage_volts,product_weight_lb,Indoor Safe,Dimensions,BTU per Hour,Safety Tip-over Switch,Heat Type,Control Type,Oxygen Depletion Sensor,Ignition,Min. Tank Capacity,Pack Size,package_length,Refrigerant,Location,Energy Rating,Country Of Origin,Number of Cool Speeds,Modification Description,Style,Manufacturer Color,Non-Domestic Product,Modified Item,Product Weight (lb.),Product Depth (in.),Accessories Included,Area Heated (Sq. Ft.),Oscillation,Model #:,Room Size (sq. ft.),Remote Control,Product Width (in.),Product Height (in.),Vent Hose Exhaust Configuration,Sub-Type,Seat Depth,Firmness,Set Includes,Number of Items in Set,Load Capacity,Stove Type Compatibility,UPC/GTIN Code,Mor Electric Heating SKU,Product Weight lb,Product Depth in,Wattage,Remote Access,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Assembled Width (in),Housing Material,Room,Ignition Type,Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Stove Type Compability,PartNumber,Heating Capacity,Built-In Thermostat,Automatic Shut-Off,Requires Venting,On/Off Heat,Flame Intensity Control,Cord length:,Coverage Area,Amps,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,NumberOfItems,Label,Connectivity,Dosage,Product,Format,Compatible Brand,Compatible Model,Author,Book Tittle,Language,Batteries Included?,Finish Types,Item Package Quantity,Specific Uses,Air Flow Capacity,Special Features,Part Number,Batteries,Room Coverage Area,Return,state limitations,Product name,Rated Voltage,Power line,Main material:,Product Meas,Heating power,Use,Net Weight/Gross Weight,BoxSize,Package Include,bulb_type,mount_location,product_length_in,MaterialType,Heating Element Type,Plug Type,Cord Length,Overall Height,Overall Width
Portable Buddy Heater - Massachusetts and Canada Version F232050,115.28,30-day returns,"[""I bought this heater for my small garage workshop. My electric heater kept tripping the breaker while using other equipment. I was afraid of other gas heaters due to their carbon monoxide emissions. This was one of the few gas heaters rated for indoor use. It also has an oxygen depletion detector and tip over cut off feature which I thought was very important.This heater silently keeps my shop warm in even the coldest temperatures and can also be attached to a 20 pound propane tank with an accessory hose ~ which I also purchased. I've run this heater for up to 6 hours uninterrupted with no noticeable fumes and since all the heat is focused out the front, it can be set close to a wall with no worries.I know I'm going to get a lot of use out of this heater. It was a very reasonable price and filled my needs perfectly. Highly recomend the Mr. Heater Buddy for heating small spaces."", 'Here in Monterey County the weather can be colder in the evenings. At my home we cut of the central heating back in ‘88 so we all dress up like eskimos to keep warm. Don’t get me wrong. We do use electric heaters in certain areas but after purchasing this Portable Propane heater, it was Heaven sent. I recommend this product with all my heart. It is compact. It is durable. It is easy to refuel. It is warm to hot. And now, as we speak, the 5 ft extension hose just arrived. When connected from my Gas Buddy to a 20 lb propane tank, I should get at least 24 hrs of constant heat. Thank you for your time. ', 'The last power outage we only had kerosene heaters.  They are big, bulky, heavy, require pouring fuel and the fumes left us wheezing and coughing.  Therefore, we found these Mr. Heater, bought two and what a difference.  Small enough to be moved from room to room and so much safer.  You will love Mr Heater.', ""Small and practical for portable heat when equipped with a disposable bottle, it's even great for a more permanent heat source - just pair this heater up with a hose and a large refillable propane bottle.  It even has a pilot light for easy on and off use.  Two heat settings, 4000 and 9000 BTUs.  The back of the heater stays cool to the touch, so it can be used backed against a wall.  Six stars for this heater."", 'Really nice heater. Relatively easy to operate and has safety features. Heater will not run all night, though with the small propane cylinders. ', ""Love this portable propane heater. Can't wait to take it camping. In the meantime, we use it around the house to warm up and enjoy the heat it produces. If the power goes out, we will stay warm with this heater!"", ""This is a very good product.  What is different about Mr. Heater compared to other small heaters is that it uses 1 lb. propane tanks, thus it does not have to be plugged in or placed near an electrical outlet.  It is easy to use and have a anti tip safety feature that will cut the unit off if the unit is tipped.  Keep on hand a few 1 lb. propane cylinders, and you're good to go.  Very good heater for small spaces and can be used indoors."", 'Great propane heater with 2 settings. I also bought a 12ft hose to connect to a 5 Gallon propane tank. The low setting was enough to warm my 29ft motor home. Perfect.', 'Purchased the additional Mr. Heater 10\' hose (item F273704) that you don\'t have to use a filter and connected it to a 20 lb. bottle of propane.   Easy to light and ran all night on low to keep my greenhouse warm.  I used a 1.5"" PVC water pipe and ran the pipe under the foundation of my greenhouse and then ran the hose through it outside where the tank was located.  For safety reasons, you aren\'t supposed to have the 20 lb. tank inside near the heater.  I cut up an old wash cloth and stuck it inside the pvc pipe to keep bugs and cold air from entering into my greenhouse. So easy to do.  ', 'Product operates exactly as advertised, which nowadays is not always the case. It functions easily and simply. Really like the option to go to larger capacity tank for longer use periods or not having to change out bottles constantly.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Battery,,,MH9BX,Black,"This patented radiant 4, 000-9, 000 BTU Liquid Propane heater connects directly to a 1 lb. cylind",9in.,14.25 in,"F232000, MH9BX",,,,0089301320000,,14.25in.,,,,Heater,,,,,3,,0089301320000,,Copper,20 gal,4000-9000 BTU,Rotary Knob,Heat Pump,,Floor,,6 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cast Aluminum Heater Heating Plate 20mm Thickness 100 150mm Length Heater Parts,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Bladeless Electric Heater 1,500 Watt ",120.0,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Lasko,Electric,Plastic,120 V,,Gray,"Auto Shut-off, Oscillation, Timer, Digital Display, Remote Control, Thermostat, Cool-to-the-Touch, Nonslip Base, Bladeless","8.1"" W","27.17"" H",,,,,,,"9.16"" D",,,,Tower Heater,,,,,2,,,,,,,"Remote Control, Touch",Forced Air/Fan,,Floor,,,,,,,251-300 sq ft,,1001-1500 W,,,,"72""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50K BTU Portable Quiet Propane Forced Air Heater Output Heat 1500 Square Feet,119.95,13 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",XtremepowerUS,Propane,"Steel, Metal, Aluminum",115,Air Forced Propane Heater,Black,"50K BTU Output, Coverage up to 1500 sq ft, Air Forced Heater, Propane fueled heater",8.5,14.5,Does Not Apply,,,,Does not apply,,,,,,Air Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steel,.6,Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Electric Console Heater Black Cyclonic Heat Digital Display Remote Control,118.54,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Acrylonitrile Butadiene Styrene (ABS),,Lasko CC24910,Black,,15.65 in,,CC24910,,,,0046013458391,,,,,,Console Heater,,,,,2 Heat,,0046013458391,,,,,Remote Control,Forced Air/Fan,,Floor,,,,,,,251-300 sq ft,,1001-1500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage 1988 Pelonis Disc Furnace Dual Control Model 1500W II Fan Heater Referb.,119.99, , ,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. ",Pelonis,Fan,,,,,,,,,,,,037817015002,,,,,,,,,,,,,,,,,,,Furnace,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VTG NoS Arvinair Wall Hugger II Heater model WH-2002, 1200W 120V Tested Works-15",120.0, , ,,Arvinair,,,120 V,WH-20,White,,,,,,,,047906982009,,,,,,Portable Heater,,,,,,,,,,,,,,,Wall,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Aw300 Convection Heater - Electric - Black - Portable (aw300),,30-day returns,"['This heater is great with small children around. I recently purchased this second heater for a second room. My grandchildren were playing in the living room where one of the heaters was on. I popped into the kitchen for a second and when I returned my two year old granddaughter was playing ring a round the heater. She was putting her arm all the way through the ""hole"" in the middle and was not getting burned. No, I don\'t let them play with it, the point being ""if"" they do touch it they don\'t get burned. I believe these heaters are some of the safest on the market for that reason alone. They also perform very well! There is only one negative thing I have to say, when new, these heaters have a burning plastic smell that will make you think it is burning up and will cause you to want to return it. Before you do, put it in the garage, turn it up as hot and as high as it will go and let it run for a day or so. This will ""burn"" off the unpleasant burning plastic smell ""before"" you use it in your house or office.', 'Works great.', 'Works as described', 'Great product. Better price!', 'good product/but noisy', 'great heater works very well heats great love it i am using as bedroom heater and we have been very warm thanks']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,"Ceramic, Steel",,,"Gray, White, Black","Oscillation, Timer",,,753500,,,,046013769459,,,,,,,,,,,2,,0046013768452,,,,,"Switch, Remote Control, Digital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heat Storm HS-1000-WX-WIFI WiFi Infrared Wall Heater, 1000 Watt Wifi",117.31, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does Not Apply,,,,,Wifi,,,,Does Not Apply,,,,Does Not Apply,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO EHT00034 Tubular Enclosure Heater,250W",115.96, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Tempco,,,120 V,EHT00034,,,,,EHT00038,,,,0094706396666,,,,,,Enclosure Heaters,,,,,1,,0094706396666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50K-80K BTU Convection Propane Tower Portable Heater,116.42,Last item available,"[""Don't expect lots of hot air as it does not have a fan, but the big plus is that you don't need electricity to run the unit, just propane."", 'lots of heat ouptput.  used it in a cabin and was quite easy.  quick setup.  does use a fair amount of propane at 14 degrees farenheit outside.  learned to heat up the building and turn it off for a awhile, then turn it back on again to reheat the cabin.', 'Heats my two car garage with ease , I would recomend!', 'Heats my garage fast and keeps it warm on low,,,', 'The heater does what was advertised.  It heats my shop well, but must be in a vented area.', ""It's not doing exactly what I want but appears to be a decent product."", 'Very nice ', 'Not what I expected, not good for garage use like,they say.', 'It will certainly do the advertised BTU and it  works exceptionally well', 'Box completly water damaged,rusted, manual soaked unreadable, missing screws, no caps on the gas nozzles.. frkn ripoff']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dyna-Glo,Propane,Steel,N/A,RMC-LPC80DG,Silver,N/A,15.91 in,N/A,RMC-LPC80DG,,,,0872076015345,,15.91 in,,,,Portable Heater,,,,,Variable,,0872076015345,N/A,Steel,0gal,50K-80K BTU,variable heat,Convection,100%,Floor,N/A,,,,A+++,N/A,"2,000 sq. ft.",A+++ - D,undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Infrared Quartz Cabinet Heater, Digital, Overheat Protection, 1,500 Watts,",117.07,30-day returns,"['So far been doing a great job keeping my room warmer and I like the three heat settings as well as the adjustable thermostat feature nice little heater', 'Does exactly what it says it will do.  Attractive and very quiet compared to other brands I tried!', ""heats well....and is 'silent'.....and it weighs 'almost nothing'...Excellent value. Nothing bad....easy to big up.   directions are in good English....."", 'This heater outperforms others that I have used. I’m happy with the purchase. I give it a thumbs up for sure!The heater has many settings from low, high, and economy. Heat temp is adjustable to put off more if needed.', 'Really heats up the RV during the Texas Ice Storm when we had power.', ""It's so nice to have heat. This one is so much better than the last one. The dogs live in front of it. It works really well. I am very happy with it!"", 'I just tried it out for the first time today seems to be a good investment', 'Warms my bathroom to toasty in 5 minutes, quiet and efficient. We love it!', ""AWESOME HEATER HEATS BETTER THAN ANY HEATER I'VE HAD."", 'Good price and good quality ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,Electric,"Wood, Aluminum, Steel",120 V,CZ2018,Black,"Auto Shut-off, Timer, Oscillation",,,CZ2018,Infrared,,,0075877003867,,11 in.,,,,Portable Heater,,,,,2,,0075877003867,Coil,Brass,1 gal or Less (5 L),5000-5999 BTU,"Dial, Switch, Remote Control, Push Button, Digital, Touch, Analog/Mechanical",Infrared,Less Than 80%,"Floor, Wall, Desk/Tabletop, Cabinet",None,15 Minutes,2018,ADT Pulse,,6.1-7,100 sq ft or Less,,1001-1500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater 9000-BTU Indoor Safe Garage Camping Portable Radiant Propane Heater,119.99,30-day returns,"[""It came quickly, took it out of the box, added a bottle oed it upf propane and fired it up. Put it in my 5th wheel camper with the temperature 30 degrees inside, set it on high and 1 hour later the whole inside was 64 degrees. With everything being 30 degree that's excellent !"", 'Easy to use.  Love the portability, and it really throws out some heat!', ""I checked it out and it works just fine won't know much more until fall in deer season       yours truly Lonnie McClenic"", 'Pretty much the ""only"" indoor propane heater at a super-reasonable price. the thermocouple and pilot assemblies can go out on them, but for under $100, sometimes under $60, used, i just keep replacing the the whole unit... \'store\' them in a plastic bag during the \'off-months\' so that spiders dont invade the pilot tubing...', 'This heater is worth every penny. Great backup heater. ', 'very good!!', 'Work great! Uses alot of fuel.', 'Great heater', 'Great heater, is keeping me warm while hunting', ""Perfect heater for camping .l'm wel pleased with it  ""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Propane,,Not Electric,F232020,Red,"Portable, Oxygen Depletion Sensor",13.4in.,7.7in.,F232020,,,,0089301320208,,,,,,Portable Heater,,,,,Variable,,,,,,9000-9999 BTU,"Rotary Knob, Switch",Radiant,,Wall,Minimal,,,,,,201-250 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Floor to Wall Unit 1,500-Watt Infrared Quartz Portable Heater With Remote",119.0, ,"['This wall furnace is made well and works perfect. Select what ever temp you want and when it reaches that it reduces power by 50 %. All automatic. It heats the room over my garage which is all finished and insulated and is 14 x 26. 364 sf. I wouldnt ask 4 anymore than that. Im in the state of Maine. I may need to add another to bring  the temp up quickly but im sure one of these will maintain from that point. For a 104 bucks you cant beat it. Oh and it eather hangs on wall or it has casters you can install. I hung mine and love it.', 'I used this in my insulated 500sq ft garage. Does a great job. In below freezing temps, warms it up to 50 degrees in only one hour. Perfect for just keeping the garage above freezing.', 'I love the WIFI feature and the heat is perfect for my 525sf space', 'I use this heater in a 250 square foot room and it works very well.It was easy to connect to wifi. I would highly recommend it.', 'Had a issue with my unit but they were quick with helping me out and getting things straightened out. Great heater that works amazingly for a great value.', 'Excellent product, easy mounting, works very well for the size', 'These are great little heaters! And at the best price! Looks good hanging on the wall and out of the way. Perfect for a bathroom.', ""i use 2 of these to warm a 2.5 car garage . it does a nice job , quiet , remote control  . temps in NY are in the 30's"", 'It’s a great little heater I put in my fish house/Camper! The remote works awesome too I couldn’t be happy would definitely recommend!', 'This is a great product for the value. Works flawless with my echo and heats up my bathroom perfectly. I would definitely recommend this product.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,,Plastic,,HS-1500-PHX,White,Heater,,,HS-1500-PHX,,,,7445054114175,,,,,Heat Storm,Does not apply,,,,,2 Heat,,07445048288288,,,,,,,,Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,Electronic,,10,,Infrared,,Whites,363,,Indoor,,13,,1500,5 in,,,Forced Air,ETL Listed,,,,,,,,,,,,,,,Electric,300,5000,Other,Freestanding,Medium,Cool-to-the-TouchDigital DisplayEnergy-Saving ModesRemote Cont,Infrared Bulb Heater,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Lasko-22 Digital Ceramic Oscillating Remote (751320) Tower Heater, 8.5X203",115.97, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Corded Electric,,,,Grey/Black,,,,,,,,7445014681617,,,,,Lasko Fans,Does not apply,,7.5 pounds,,,,,07445014681617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,751320,8.5 x 7.25 x 23 inches,Yes,,,,Convection,8.5 x 7.25 x 23 inches,,,,,,,,,,,,,,,Cookware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
