Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,MPN,UPC,Country of Origin,Air Direction,Colour,Location,Height,Depth,Width,EAN,Energy Efficiency Rating,Bundle Description,Cable Length,Size,Gender,Dial Color,Department,Lot,Type 1,Mounting & Moving,Control Type,Suitable Location,Refrigerant,Design,Tube Length,Wattage,Shape,Number of Pieces,Towel Rack Length,Modified Item,Mounting,Item Height,Style,Recommended Environment,Heating Technology,Heater Style,Noise Level,Modification Description,Room Coverage Area,Manufacturer Color,Time Control,ISBN,Application,Temperature,Cover material,Perfermance,Product Name,Power (W),Unit Quantity,Current Rating,Hight,Tonnage,Name,Power Cord Length,Product Power,Product Height (in),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Room Size,Heater Type,Certifications and Listings,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Product Width (in),Power/Fuel Type,Portable Heater Features,Wattage (watts),Heat rating (BTU/hour),Amperage (amps),Voltage (volts),Product Weight (lb),Bundle Listing,Package Contents,Voltage:,Power ：,Product color:,Power supply:,Packing:,Product Lot Quantity,Compatible Model,Manufacturer,PackQty,Motor power,Power supply,Plug type,Shape material,Color box size,Product gross weight,Remarks,Origin,Room,Heating Wattage,Heating Element:,Use:,Certification,Rated voltage:,Switch type:,Rated power,plug,Types of heating appliances:,Electric Heater Type:,How to heat it:,Installation:,Protection Properties,GTIN,Max. Power (kW),Voltage Supply,Power Type,Protection,Manufacturer Part Number,ProductType,Item Weight,Heating Method,Item Dimensions LxWxH,Stock #,Control Way,Driving Mode,Temperature of Air Outlet,Tube Material,Warranty,Maximum power,Installation,Use,Model Number,Heating Element,Function,Electric Heater Type,Area Heated,Number of Speed Settings,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word,Key Word 2,Key Word 3,Key Word 4,Length,Height (In.),Width (In.),Phase,Watts,Non-Domestic Product,Ship Fullfillment,Returns,Costumer Care,Up to 32 Degrees,Heater Voltage,Portable,Easy To Carry,Easy To Clean,Secured Payment,Limited Discounted Stock,Highest Quality,Made For,40$OFF SALE,Prop65_fl,Prop65Warning,Application:,Electric Heater,Heater Plug Type:,Heater Type:,Item Type,Item model number,Is Discontinued By Manufacturer,Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,Model No.,Item Weight Major,Item name,wall heater,Control,Christmas gift,Batteries Required,Product Dimensions,item_width,item_length,Number Of Speed Settings,Voltage (v),Sku,Plug Type,Temperature Range,Timing Time,Wind Speed,Package,Quality,Positive,Ships From,Made in,payment,Heating BTU
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V Auto Car Heater Heating Cooling Heater Adjustable Defroster Demister 150W,36.89,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,,,Does not apply,,,,,,,,,,,,16*12*7.5 cm/6.3*4.72*2.95 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12v for cars,,,,,,,,,,Car Heater,About 1.4 meters,150 w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500w 2 in 1 Portable Fast Heating Car Heater 12v Demister Vehicle Heater Fan,39.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,,,,,,,,,,,,101-200 W,,Unbranded,,,,,,,12 V,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V 150W Demister Car Auto Portable 2 In 1 Heater Cooler Fan Plug in Dryer,39.89,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,,,,,,,,,,,,101-200 W,,Unbranded,,,,,,,12 V,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600W Ceramic Space Heater Portable Desktop Silent Electric Heater Black Electric,35.09,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,China,,3.8,4.3 in,,"Ceramic, Plastic",,,,"Unit Heater, Electric Portable Heater, Ceramic",,,,,,,,"Desk/Tabletop, Portable",3.8 inches,1,Under 150 sq ft,600W,,Unbranded,,"Push Button, Switch, Touch",,,Convection,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Cozy Portable Electric Heater, 200w, 120V AC, 1 Phase CL-2",39.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,,,,,,,,,,,,,,Cozy,,,,,,,120 V,CL-2,706069235253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric Heater 1500-Watt Compact Fan-Forced Heating Thermostat White,36.06,30-day returns,"['I highly recommend this heater. It heats up your room within an hour of use.', 'A does works but very annoying.', 'It was very nice', 'Waste of my money', 'Great Heater', 'Shuts off when tipped over! Can be used as a fan in the summer!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,,,,,,,Plastic,,,Electric,Portable Heater,,HomePlug,,White,2000,None,,"Baseboard, Desk/Tabletop",,2,100 sq ft or Less,1001-1500 W,Less Than 2000 BTU,comfort zone,,"Switch, Dial",Brass,,Forced Air/Fan,Less Than 80%,120 V,CZ40,0075877250483,,2-Way,,,,,,0075877250483,,,100 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,9.25,800,10.25,Dial,Large,Forced Air,ETL Listed,Whites,"Auto Shut Off,Tip-Over Safety Switch",72.0,Indoor,5.5,Electric,Thermostat,750/1500,5120,12.5,120,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🔥Vintage Lakewood Model 105 Fan Forced Portable Electric Heater🔥,, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Coil,Model 105,,,8 in,10 in,,Steel,Not Compliant,1 gal or Less (5 L),"Electric, Fan",Portable Heater,multi tempature,,,White,,None,3 or Less,Floor,12 in,4,100 sq ft or Less,1001-1500 W,3000-3999 BTU,Lakewood,,Analog/Mechanical,Stainless Steel,A - G,Radiant,Less Than 80%,110 V,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💯♨️ NEW Black Mainstays 1500 Watts Quartz Electric Space Room Heater WSH20Q3ABB,38.41, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,WSH20Q3ABB,,,,,,"Plastic/, Aluminum, Ceramic",,1 gal or Less (5 L),Electric,Portable Heater,"Power Indicador Light, Safety Protect Bar, Tip Over Shut-Off",,,Black,,Standard,,Floor,,3,161.45 sq ft,1001-1500 W,,Mainstays,,Rotary Knob,Quartz,A++ - G,Radiant,100%,120 V,WSH20Q3ABB,810004819276,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater, 12' Propane Hose Assembly Swivel", , ,"[""Only complaint is that the male connection to the bulk tank is REVERSE threaded and this was not disclosed in the instructions, and the male thread to the heater is STANDARD threaded.    Almost returned the product as defective because I couldn't make connections  but I finally figured it out.  I wrote to the company to suggest that they make this clear in the packaging.  Haven't heard a word.  Hope the product is better than the company."", 'Bought 2 x mr buddy heaters and needed a way to run them off a separate gas bottle which could be stored outside. This hose fits perfectly and does the job ', 'works as promised', 'Priced right and the right one for my heater.', 'Good hose works as it should.', 'Mr Heater quality.', 'It was better quality than the one I bought from Home Depot', 'Safe product']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,F273702,,,11 in,251 in,Mr. Heater Buddy,"Brass,Plastic, Metal,Brass,Plastic, Plastic,Brass,Metal, Brass, Plastic,Metal,Brass, Plastic, Steel",,,"Propane Gas, Electric, Gas, Gas,Propane, Propane",Hose,"Portable, Indoor/Outdoor, Outdoor, 12 FT F273702",Thread,24 Hours,Black,,Standard,,Wall,,2,12 ft,,75000,Mr. Heater,,Digital,Stainless Steel,,Radiant,100%,Not Electric,F273702,0089301737020,,,,,,,,,,,12 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater F299201 Vent Free Blower Fan 20K 30K 2016 And Fwd,37.32,69 sold,"['I bought this with the false expectation that it would blow heat straight out. It does not blow it anywhere. called **.****** and they told me I am right, but it is supposed to keep the heat lower in the room. there is absolutely no difference. I also paid 30 some dollars for it on ****, when it is for sale everywhere else for $20 (Mr. heater brand).Shame on me! you can buy other heaters that blow heat straight out, I guess I just bought the name brand.', ""Keep expectations of a 3 to 4 inch plastic fan in check. And you will be happy with your purchase. Does not move much air. But the install was easy. And it's better than no fan. Install took 15 min. Remove metal plate on Mr.Heater install the fan. Attach thermostat wires inside unit. Screw in the 4 bolts that hold unit in place. Done. You got a fan in your Mr Heater Unit. I'm my opinion unit should be sold with fan installed. But they get an extra 30 bucks or so out of you by doing it this way. Overall I'm pleased though. The Heater works great along with Fan. I'd recommend it.  Heats the 800 square feet up quite well. Even on the lowest setting. No vent is nice. And no fumes. Clean burning. Excellent Very Happy. Thanks!"", ""Works very well on auto.  its not going to circulate the air in your garage, I have a small box fan 8ft above the heater blowing down across the garage for that.  I also shimmed my heater out 4in from the wall or the fan wouldn't be able to get air to blow any out.  It made a big difference"", 'It’s better than having the heater without the fan it does move some air but not a lot. The automatic function does not work on it with the heater for some reason, incompatibility or something? At full retail price it’s not a very good value. Don’t stand too close to the heater see photo.', 'Blower is a little loud but bearable but the biggest problem is this model will not work on auto feature in wall heaters made before 2015 so if you have an older stove the auto feature will not work because it does not have the thermostat built in the fan', 'Works as good as can be expected for its size. Helps distribute the heat but not with great force', 'Fan is quite and smooth but does not move much air.', 'The Mr. Heater is Great. I have it in a large room in my shed. It kicks on and off by thermostat.  The Fan is a wonderful Addition. Easy to Install,  and it also kicks on and off by thermostat.  Highly recommend it. ', ""It was an easy install but the switch has a position for auto and on and haven't got the auto mode working on it."", 'The fan is not very powerful I find a regular fan placed behind the unit blowing down just as effective but does take more space.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,F299201,,,,15cm,,Steel,,,"Electric, Propane",,,,24hr.,Beige,2016,,,Portable,,1,,,20k-30k,Mr. Heater,,Switch,,,Convection,,,F299201,0089301001183,,,,,,,,0089301001183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 106 MyHeat Portable Personal Electric 200W Ceramic Space Heater, Purple",36.99,30-day returns,"[""At 200 watts, it's only intend for a small area, under a work desk, for instance. It doesn't have a thermostat, so it runs all the time it's on, but, it does have over heat protection. It's suppose to have a switch to kick it off if it's knocked over, but, either it doesn't, or mine doesn't work. However, the case doesn't get hot, so I'm not really to concerned  I used mine to blow heat under my bed when it's cold, it's small enough that it sets below my box springs, so it's not blowing on the bed but under it. It serves my purpose perfectly. I'm probably going to buy a couple more, 1 for under my desk at home, 1 so I will have a spare."", 'This is a solid little space heater but the amount of heat that comes out seems proportional to it\'s energy use.  I use it for my feet but if it\'s really cold in the space that it\'s being used in, it wouldn\'t be enough heat to be effective even for something like feet.The only reason I bought this one is because my previous order for the same heater was cancelled by \tXA-ELECTRONICS.  First they sent me an email that they were refunding my money with no explanation then later an email arrived saying the reason for the cancelled transaction was that ""The seller says that both of you disagreed over the terms of the transaction"".  This is completely untrue because I had nothing to say about it, so it was just a complete waste of time for me and I still have no idea why they cancelled it without any explanation.  i tried to contact them about this but haven\'t received a response.I would definitely support JONI-MARKET for their extremely fast shipping and excellent service but unless you want a lot of games with extremely poor communication I would avoid like the plague XA-ELECTRONICS for any purchases.', ""When I received this... I won't lie, I thought that this was too small to really make a difference. Until I used it. It's as simple as turning it on or not. It only has one direction. I bought another bigger fancier heater.... Honestly I felt like I was getting cooked. Too hot and made the room feel like a sauna. This one can make a smaller bedroom warm but not uncomfortably so. I liked this heater so much I bought it 3x, not for me but for 3 more people. Its compact and VERY user friendly."", 'Really great small heater that can handle being moved around. Would purchase this item again if I needed a second one. Probably will for backups.', 'I love my little heater and it keeps me warm all night. It actually heats my room and keeps it toasty. I am thinking of ordering another one for my daughter.', 'I\'ve used many space heaters both ceramic and conventional and I\'d swear this little dude puts out more heat than larger units when running on their 500 watt settings! A thermostat would be nice but for this price point, I can\'t complain. Even though this is made in China (and what isn\'t nowadays?!?) it seems better than average ""import"" quality. I\'d buy one again and/or recommend one!  :^)', 'In order to use so little power the fan barely forces the heat forward. Best if you put it under or right in front of desired area. Basically silent operation.', 'It works ', 'Nice buy', 'Good unit, wish it had a temp control.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,MyHeat,,,,,,Ceramic,,,Electric,Unit Heater,Portable,,,Purple,,,,,,1,,,,Lasko,,Touch,,,,,,106,0046013765109,,,,Bedroom,,,,0046013765109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DESA REDDY KEROSENE HEATER M22456-3 PUMP ROTOR OEM Portable Heater 3/4""",37.50,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,pump rotor,,,,,,,,,,,,,,Desa,,,,,,,,M22456-3,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR. HEATER 12 Ft. x Swivel 1 In.-20 Propane  Hose Assembly Tough Buddy USA MADE,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,F298802,United States,,11 in,251 in,Mr. Heater Buddy,"Brass, Steel, Brass,Plastic, Metal,Brass,Plastic, Plastic,Brass,Metal, Plastic,Metal,Brass, Plastic",,,"Electric, Gas, Propane, Propane Gas, Gas,Propane",Hose,"Portable, Indoor/Outdoor, Outdoor, 12 Feet",Thread,24 Hours,Black,,Standard,,Wall,10.000,2,12 ft,,75000,Mr. Heater,,Digital,Stainless Steel,,Radiant,100%,Not Electric,,089301988026,United States,,,,,,,,,,12 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soleil Electric Digital Ceramic Heater 1500W Indoor Black PTC-915B, Brand New!!",39.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,PTC-915B,,,,,,Ceramic,,,Electric,Fan Heater,Portable,,,Black,,,,,,,,,,Soleil,,Digital,,,,,,PTC-915B,815900020849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric Car Heater 12V 150W Heating Fan Defogger Defroster Demister,39.59,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,,,,,,,,,,,,101-200 W,,Unbranded,,,,,,,12 V,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150W Portable Heater Heating Cooling Fan Defroster Demister for Car Truck 12V,39.57,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,,Does Not Apply,Does not apply,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1pc of 12V Fast Heater Cooling Fan Demister Defroster+Bracket,12v,150w,black and gray,Cigar lighter,Heater*1+Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater, 1500W Ceramic Tower Heaters Indoor Portable with Remote, Electric",39.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Ceramic,,,Electric,Tower Heater,,,,,,,,,,,,,,Unbranded,,,,,Forced Air/Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2x Mainstays 3-in-1 Mini Tabletop Electric Ceramic Heater W Hand Warmer Black,35.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,NT03-21AB,China,,,5.59 in,,Ceramic,,,Electric,Portable Heater,Tip Over & Overheat Protection,,,Black,2021,Standard,,Desk/Tabletop,4.24 in,1,100 sq ft or Less,301-400 W,,Mainstays,1 Year,Push Button,,,Forced Air/Fan,,120 V,NT03-21AB,810040945243,,,,,,,,,,,72 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koehring, Master, Reddy Heater, Coop M15063, M15064 Ignition Transformer",40.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Various,United States,,,,,Steel,,,"Diesel, Kerosone",Portable Heater,,,,,Unknown,,,Floor,,,,,,Koehring,,,,,Forced Air/Fan,,120 V,M15064,,,,,,,,,,,,"7""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
