Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,Color,Country/Region of Manufacture,Custom Bundle,UPC,Air outlet temperature,Control method,Driving mode,Lamp tube material,Item model number,Manufacturer,Warranty Description,Item Diameter,Assembly Required,Is Discontinued By Manufacturer,Product Dimensions,Material Care Instructions,Country of Origin,Batteries Required?,Item Weight,Department,Heating Method,Item Dimensions LxWxH,Import Designation,Number of Pieces,Specification met,Included Components,ISBN,Year Manufactured,Smart Home Protocol,Current Rating,Smart Home Compatibility,Energy Star,Refrigerant,Timer Control,Tonnage,Air Direction,Manufacturer Warranty,Cable Length,Contents of the package,Manufacturer Part Number,Plug(Option),Gear,Product Size(L * H),Binding,Returns,Shipping Weight,SHIPPING,RETURN,ITEM LOCATION,International buyers,Heating Wattage,Height,Width,Net weight,Overall dimension,Power cord length,Frequency,Package includes,Power (W),Modified Item,Depth,Finish,Size,Model No.,Style,Heater Controls,Wattage (watts),Product Weight (lb),Room Size,Heater Type,Certifications and Listings,Color Family,Product Width (in),Amperage (amps),Indoor/Outdoor,Cord Length (in),Power/Fuel Type,Heating Product Type,Area Heated (Sq Ft),Portable Heater Features,Product Height (in),Product Depth (in),Heat Output (BTU/hour),Heating Technology Type,Voltage (volts),Heating Technology,Manufacturer Color,SKU,Vent Hose Exhaust Configuration,ProductType,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Sport,Product Weight (lb.),Product Depth (in.),Product Length (in.),Area Heated (Sq. Ft.),Heat rating (BTU/hour),Pack Size,Number of Elements,Bulb Type,Mount Location,Product Width (in.),Product Height (in.),Portable Heater Safety Features,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,frequency,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Note,PackQty,Heat Output,Power Type,Recommended Location,Hight,Weight,Product Name,Thickness,package_length,item_length,item_width,Package Dimensions,Specific Uses For Product,Batteries Required,Batteries,Is Assembly Required?,Form Factor,Heating Element,Maximum Heat Power,Oscillation,Product Model,Timer,Power Options,Room Coverage Area,ItemHeight,ItemLength,ItemWidth,Weight (Approximate),Product,room_size,indoor_outdoor,product_depth_in,number_of_heat_settings,portable_heater_features,heater_type,voltage_volts,certifications_and_listings,heater_controls,wattage_watts,color_family,power_fuel_type,amperage_amps,portable_heater_safety_features,product_height_in,cord_length_in,product_width_in,area_heated_sq_ft,product_weight_lb,Gift,Energy Rating,Maximum Room Size (sq ft),Duct Compatible Sizes,Room,Housing Width (in),Vent Style,Included,Grill Shape,Mounting,Ventilation System,Number of Bulbs Required,Color/Finish,Product Length (in),Air Volume (CFM),Installation Type,Housing Material,Light Bulb Base Code,Mount Type,Location,Length,Battery Included,ItemPackageQuantity,Bundle Description,Number of Batteries,Battery Size,Motor Type,Battery Capacity,Battery Life,TAX,Handling Time:,Questions,NumberOfItems,Restricted States,Item,Overall Length,Application,Overall Length (In.),Includes,Construction,Phase,Mounting Type,Watts,Screw Size,Voltage Type,Mounting Dimension,Terminals,Sheath Material,Wattage,Assembled Depth (in),Patio Heater Type,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Fuel Type,Assembled Width (in),Connectivity,Dosage,Format,Compatible Brand,Compatible Model,Author,Book Tittle,Language,GTIN,BTU,Model Number,Cord Length,BTU Output,Cooling Method
Lasko 5622 Convection Heater - Electric - 1.50 kW - Portable - White,92.76,30-day returns,"[""I apologize for taking so long to rate your product but it has been great ever since I received it great use it's very quiet just like you said and I love it"", ""Very nice heater. Super quiet! I am using it in what was a screened-in lanai (remodeled into a 4-season sunroom). With all these windows it gets chilly in here at times, even though the room has central heat. This Lasko heater is just the thing to take the chill out of the room. I can't speak to its longevity, as I have only had it a few weeks, but it seems very well made."", 'My only reservation is it is a little on the large side, but it is working great so far.', 'Unit works well.No complaints.Have owned for 2 yearsComes in handy when the furnace sometimes breaks down. Or to take the chill off a basement bedroom.I Would buy again.But remember, it’s electric and the electric meter spins like a top', 'It works great and is silent other than the chirping to let you know the temp is increasing. I need another one. I highly recommend it.', 'I didn’t realize before purchase the top of the heater was metal. Was going to use for my kitchen but not with a toddler running around who could potentially touch and burn their hand. It’ll work best for my basement as I needed something for there too.', 'Sturdy build with great features. However, I wish it comes with a remote then this wold be perfect heater.', 'This was purchased to heat a room whose temperature varied greatly from night to day  It works perfectly, soundlessly, and draft free.  The temperature in the room stays steady at between 68 and 70 just what is needed to grow phalenopsis orchids.  We love it.', 'Ive Had it On 90 Degrees For TWO HoursLess Than THREE Feet In Back Of Me..... In A SMALL Office AreaThats My Shadow In The Photo.And I Felt NOTHING!', 'Thank you very much and have a great day.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,"Electric Portable Heater, Baseboard Heater",Convection,Portable,,"Metal,Ceramic, Ceramic,Metal, Ceramic, Metal",1 Heat,"Switch, Switch,Digital, Digital, Electronic, Digital,Switch",5622,120 V,"Display, Handle, Timer, Digital Thermostat, 1500W, Thermostat,Timer, Auto-OFF!, Carrying Handle, Digital Thermostat, Display, Timer, Thermostat,Carrying Handle,Timer, Quartz, Adjustable Thermostat, Timer Included, Silent, Remote Control, Overheat Protection, Heater, Silent Operation, Silent,Portable, Handle,Digital Display,Nonslip BASE,Timer,Automatic Shutoff,Tip-Over Safety Switch,Thermostat, Indoor, Portable, Digital Display, Power Indicator, Heating, Tip-Over Safety Switch, Carrying Handle,Thermostat,Timer, Thermostat,Silent,1500 Watts,Auto-OFF!,Portable, Portable,Vent Free, Handle Thermostat Overload Protection Tip-Over Cut-OFF! Switch, Vent Free, for spot heating at home or office,this portable heater is the perfect solution,comes in white color is sure to beautify your room,electric heating - allows immediate relief from th,keep your bedroom comfortable with 1.50 kw heating, Timer Included, Portable,Silent Operation,Thermostat,Timer,Power Indicator,Remote Control,Overheat Protection,Vent Free, Automatic Shutoff,Digital Display,Nonslip BASE,Thermostat",,1500,,,,,,250 to 499 sq ft,5.5,5622,,,,,,,,,,0046013763297,White,,,0046013763297,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic,,,,,8 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Chicken Coop Heaters, 100/200W Adjustable Wattage UL Tested Radiant Heat Flat ",91.3, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does Not Apply,,,,,,,,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,Does Not Apply,,,,Does Not Apply,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does Not Apply,1,Kitchen,SPACE_HEATER,Does Not Apply,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater ,home Heater,1000W Portable Electric fan heater ,PTC Fast Heater",95.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,"Electric, Fan",Portable Heater,Forced Air/Fan,"Office and Indoor Use, Desk/Tabletop",,Ceramic,"Designed with 1000W high heat mode, 600W medium he",Switch,Electric fan heater,110V 220V,Auto Shut-off,,600W 1000W,unknown,unknown,unknown,42dB,Less Than 2000 BTU,Ordinary,14 in,Does Not Apply,5.1-6,unknown,26 in,no tank,A+++ - E,,,,,,As shown in the figure,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50HZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimus H6015l Black Digital 7 Fin Oil Filled Radiator Heater,90.28,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Optimus,,Patio Heaters,,,,,,,,,,,,,,,,,,,h6015l,,,,,,,,,,,,,,630326160159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGIAN Electric Patio Heater With Remote Control700/1500W Settings and Timer ...,93.76,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",KEGIAN,,,,,,,,,Does not apply,,,,,,,,,,,,Does not apply,,,,,,,,,,Does not apply,Black,,,608571730106,,,,,,,,,,,,,,,,,,,,,,,0608571730106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without Tripod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyna-Glo Portable Heater 80000-BTU Automatic Shutoff Convection Propane,95.0, ,"[""Don't expect lots of hot air as it does not have a fan, but the big plus is that you don't need electricity to run the unit, just propane."", 'lots of heat ouptput.  used it in a cabin and was quite easy.  quick setup.  does use a fair amount of propane at 14 degrees farenheit outside.  learned to heat up the building and turn it off for a awhile, then turn it back on again to reheat the cabin.', 'Heats my two car garage with ease , I would recomend!', 'Heats my garage fast and keeps it warm on low,,,', 'The heater does what was advertised.  It heats my shop well, but must be in a vented area.', ""It's not doing exactly what I want but appears to be a decent product."", 'Very nice ', 'Not what I expected, not good for garage use like,they say.', 'It will certainly do the advertised BTU and it  works exceptionally well', 'Box completly water damaged,rusted, manual soaked unreadable, missing screws, no caps on the gas nozzles.. frkn ripoff']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Dyna-Glo,Propane,Portable Heater,Convection,Floor,,Steel,Variable,Dial,RMC-LPC80DG,,Auto Shut-off,,,Knockdown Burn Chamber,,,11-20 dB,50000-80000 Btu,2000 Sq ft,18 in,RMC-LPC80DG,,,16”,2-5 gal (6-19 L),,,,,,0872076015345,Silver,China,No,0872076015345,,,,,,,,,,,,,,,,,,,,,,,,2021,No,,None,,,,,Circular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 754201 Small Portable 1500W Electric Ceramic Space Heater with Tip-Over...,92.27,New condition, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,,,,,,,,Does not apply,,,,,,,,,,,,Does not apply,,,,,,,,,,Does not apply,Dark Gray,,,046013770974,,,,,,,,,,,,,,,,,,,,,,,0046013770974,,,,,,,,,,,,,,,,,,"USA 60 Day, International 30 Day Money-Back Guarentee",,,,,,,,,,,,,,,,,,9.2 x 7 x 6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 Business Days (Usually same day),U.S.A Free And Fast Shipping,100% Customer Satisfaction,"Professional Service, We Will Solve Any Problem",Shipped to select countries outside of USA,This product has a special price for a limited time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELONIS PTH15A4BGB Ceramic Tower 1500W Indoor Space Heater with Oscillation R...,92.56, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",PELONIS,,,,,,,,,Does not apply,,,,,,,,,,,,Does not apply,,,,,,,,,,Does not apply,Manual Grey,,,810049710231,,,,,,,,,,,,,,,,,,,,,,,0810049710231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17 x 7.17 x 22.95 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pro Fusion QGW15-602 Heat Workshop Heater, 750/1500 W, Electric Heating",92.0,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Power Zone,Electric,Portable Heater,,"ceiling, Garage",,,,,QGW15-602,,,,750-1500 W,,,,,11000,225 ft,,QGW15-602,,,,,,,,,,,Black,,,045734667525,,,,,,Power Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QGW15-602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop heater office heater home electric heater small sun artifact small,124.77, , ,New,Unbranded,,,,,,,,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj RHX Room Heater 2 Heat Setting Noiseless Operation Dual Safety Assurance,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Bajaj,Electric,Heater,Fan,Floor,,Ceramic,,Switch,RHX 2 Halogen,220 V,Auto Shut-off,,800 W,,,,,,,19.5 Cm Approx,Does Not Apply,,,36 Cm Approx,,,,,,,,White,India,No,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5165 Ceramic Tower Heater, Digital With Remote, Black - Quantity 1",92.82, ,"[""I've used three of these units for years now, snd regard them highly."", 'Works great. Easy to follow instructions. Comes with a remote. I purchase this one based on customer reviews.', 'DURABILITY I HAVE NOT USED IT ENOUGH TO MAKE THAT CALL. .I BELIEVE ITS THE BEST HEATER I HAVE EVER USED.', 'This is the second Lasko. The first one broke down after 6 years. So i decided to buy the same brand because the safety is the utmost concern.', 'This is the second Lasko tower heater I have purchased.They have upgraded the controls and are now eaasier to use. We use it in our 5th wheel travel trailer to supplement and take some of the load off of our gas furnace. I highly recommend this heater.', 'It warms up a 12x12 room quickly.  I have  had no problem with it so far, and is easy to use.', 'I Have a Lasko Fan / Heater like this one after a few years the fan without the heater function stopped working and the function buttons on the top of the unit will  not work anymore.  The unit will not power on without the Remote Control and many of the functions that are on the Control portion on the top of the heater are not on the Remote Control. I have had many Space Heaters and in my opinion Lasko is at the bottom of the barrel.  They definitely put out more noise than Heat.  I have had a couple of Lasko Fans and their motors burn out quickly.  I will not buy anymore Lasko products in the future.', 'Good heat fast', ""Heater was easy to use and decent size. It's my first heater and so far it's pretty cool."", 'right size for my sewing room']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Tower Heater,,,,n/a,,,,n/a,n/a,,,,,,,,,8.140,5160,,,n/a,,,,,,,0046013764713,Black,China,,0046013764713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EH1-0054-06 PVH Panel Vortex Heater, 2 Settings, Thermostat Control, Black -",91.57, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Vornado,n/a,HOME COMFORT APPLIANCES,,,,n/a,,,,n/a,n/a,,,,,,,,,8.750,EH1-0054-06,,,n/a,,,,,,,,,China,,043765005873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Heater 1500W Garage Forced Air Fan Portable Utility Home Shop,92.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DuraHeat,Multiple Power Source,Electric Portable Heater,Forced Air/Fan,Desk/Tabletop,,Steel,Multiple Number of Heat Settings,Dial,EUH1500,120 V,Multiple Features,,1500 W,Multiple Heating Element Format,Multiple Heating Element Material,Multiple Annual Fuel Utilization Efficiency (AFUE),Multiple Operating Sound Rating,Multiple BTU Heating Rating,250 Sq Ft,11 in,Does not apply,Multiple Energy Efficiency Ratio (EER),,,,,,,,,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multiple Energy Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillating Space Heater – Ceramic Forced Fan Heating with Stay Cool Housing ...,92.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0720189167225,,,,720189167225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500 W Oil Filled Radiator Portable Space Heater w/Overheat & Tip-Over Protectio,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,,,,,,,,,,,,,,,,,,90724531,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HZ-7300 EnergySmart Cool-Touch Personal Heater - Quantity 1,93.69, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",HONEYWELL,n/a,HOME COMFORT APPLIANCES,,,,n/a,,,,n/a,n/a,,,,,,,,,8.150,HZ-7300,,,n/a,,,,,,,,,China,,092926073008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400W Electric Under Desk Heater Oil Filled Silent Slim Fit Design Portable White,94.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7445036937914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1500W Space Heater, Thermostat Oscillating Heater with Remote and 1-24H Timer, T",93.43,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Corded Electric,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07445023085000,,,,7445023085000,,,,,,,,,,,,,,,,,Convection,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99 Degrees Fahrenheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Ceramic Heater 1500W Electric Digital Display Tip-Over Safety Switch Black,90.12,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,,,,,,1 Heat,,5624,,,,,,,,,,,,5624,,,,,,,,,,0046013763372,Black,,,0046013763372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
