Title,Price,Sold,Reviews,Condition,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,EAN,Brand,BTU Heating Rating,Type,Power Source,Heating System,Color,Voltage,Number of Heat Settings,Model,Features,Material,Operating Sound Rating,Heating Element,Made in,Weight,Model No.,Size,Item Height,Item Weight,Style,Product,Battery Included,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Cable Length,Year Manufactured,Mounting Location,Manufacturer,ISBN,SHIPPING,RETURN,ITEM LOCATION,International buyers,Item Depth,Area Covered,Power,Control Style,Phase,Restricted States,Housing Material,Indoor/Outdoor,Custom Bundle,Item,Height (In.),Height,Finish,Width,Length (In.),Mounting Type,Standards,Mounting,Agency Compliance,NumberOfItems,BtuH,Width (In.),Watts,Heating Element Format,Bundle Description,Heating Element Material,Energy Efficiency Ratio (EER),Energy Star,Tank Capacity,Annual Fuel Utilization Efficiency (AFUE),EC Range,Number of Cool Speeds,Air Direction,Package,Piece Count,Recommended Enviornment,Assembled Product Dimensions (L x W x H),Assembled Product Weight,Manufacturer Part Number,SKU,Heater Controls,Mount Location,Product Weight (lb),Room Size,Heater Type,Certifications and Listings,Color Family,Product Width (in),Product Height (in),Product Length (in),Power/Fuel Type,Portable Heater Features,Area Heated (Sq Ft),Wattage (watts),Heat rating (BTU/hour),Product Depth (in),Heating Product Type,Heating Technology Type,Bulb Type,Power Type,UPC/GTIN Code,Mor Electric Heating SKU,Heating Wattage,Timer Control,Case Size,Display Technology,Storage Capacity,Battery,Volume,Processor,Chipset/GPU Model,Scale,Stove Type Compatibility,Band Material,Country of Manufacture,Maximum Resolution,Internet Connectivity,Screen Size,Compatible Brand,Fragrance Name,Playable Media Format,Chipset Manufacturer,Form Factor,Connectivity,Gender,Mount,Wattage,Item Package,BandMaterialType,Studio,Publisher,ProductTypeName,ProductGroup,MaterialType,Label,Department,Binding,PackageQuantity,TAX,Customer Service,Returns,Handling Time:,Location,Questions,Dosage,Format,Compatible Model,Author,Book Tittle,Language,Current Rating,Warranty,ItemPackageQuantity,Product Length in inches,Product Width,Product Height,Product Weight in pounds,Materials,"Housing
Length",Housing Width,Housing Height,"Burner 
Length",Burner Width,Burner Depth,Heat Range Diameter,Items included,Shape,Assembly Required,Product Dimensions,Shipping Weight,Item model number,Ignition Type,Connection Size,Automatic shutoff,Fuel Type,Timer Included,Fuel Gauge,Installation,Room Size (sq ft),Remote Control,Thermostat,Accessories Included,Pack Size,Annual Fuel Utilization Efficiency (AFUE) (%),Vented,Heating area,Product Weight (lb.),Area Heated (Sq. Ft.),Room Size (sq. ft.),Prop65_fl,Prop65Warning,Vent Hose Exhaust Configuration,Recommended Location,Batteries Included?,Assembled Height,Batteries Required?,Assembled Width,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Assembled Length,item_length,item_width,Colour,Memory Card(s) Supported,Maximum Magnification,Sport,Refrigerant,Smart Home Compatibility,Tonnage,Room,Set Includes,Product Type,Start Type,Heat Type,Includes,Overall Depth,Overall Width,Special Features,Control Type,Heat Output,Heating Coverage,Maximum Blower Output,Overall Height,Country of Origin,Input Voltage,Maximum Heat Power,Minimum Heat Power,Product Model,Weight (Approximate),Gas Consumption,Fuel,Reflector,Main Pole,Cylinder housing,Door,Base,Hole Diameter,Insulation Material,Max Operating Temperature,Max Power Density,Power Lead Material,Product Name,Resistance Tolerance,Supply Voltage,Thickness,Advantages,Center Distance from Hole to Side,Collocation Products,Flammability,Warranty Description,Heating Method,Item Dimensions LxWxH,Style Name,Airflow,Supply,Nett Weight,Product Width (in.),Amperage (amps),Heater Type:,Product Depth (in.),Color:,Color Family:,Material:,Product Height (in.),Number of Heat Settings:,Portable Heater Safety Features,Cord Length (in.),Voltage (volts),Suitable For,Amps,Flame Intensity Control,Minimum BTU output,Coverage Area,Automatic Shut-Off,Built-In Thermostat,Maximum BTU output,Power cord,Mantel Width,Requires Venting,On/Off Heat,Includes Firebox,Dimensions,Modified Item,Manufacturer Color,Heater Style,Main Material,Burner,Flame screen,Table,Ignition Method,Safety Device,Accessories,Packaging,GW/NW,Certifications,Package Dimensions,Barcode,Part No.,Power (W),Product Weight,Dimensions (L x W x H),Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Application,Connection Type,Pattern Name,PackQty,Assembled Height (in),Assembled Depth (in),Assembled Width (in),GTIN,Country Of Origin,CFM,Volts/Hertz,Min Fuse size,Item Location,Quantity,Shipping,Tax,Bundle Listing,Energy Efficiency Rating,Unit Type,Included Components,manufacturer_part_number,Application/Usage,Area Coverage,Input Current,Power Consumption,Timer,Number of Shelves,Number of Drawers,Seat Depth,Seating Capacity,Firmness,Number of Items in Set,Load Capacity,Batteries Required,UNSPSC Code,Number of Pieces,Flame Screen,Cylinder Housing,gnition Method
Desa Heater Motor 097308-04 150K BTU Heaters,209.99,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,097308-04,,,,Does not apply,,Desa,,Air Heater,,,Black,,,097308-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing Propane Patio Heater Wheels Anti-tilt Hammered Adjustable Steel Bronze,208.49,Last item available,"['The heater was quick to put together. Be careful when assembling the heat shield, it has sharp edges. After I assembled it, I attached an extra propane tank for my gas grill. I followed the simple lighting instructions and it fired right up. The cocktail table is a nice touch, but the ice in drinks will melt quickly with the amount of heat it gives off. The finish and appearance is very nice, I also bought a heater cover to protect it against the elements when it is not is use. The only complaint is, the door hatch for the propane storage is a little wonky when closing and securing it. Overall I highly recommend it.', ""It's a little harder to start than others we have used, but is large, nice looking, and cozy to hang out by! Puts off a lot of heat...recommend, though I have found others at better prices."", ""I had promised my wife a heater on the new porch ASAP.  There was nothing affordable local.  The big box stores had zero stock and no way to order.  Then I came across AZ Patio Heaters, asking a reasonable price for a 48KBtu heater.  Shipping was extraordinarily fast.  Package came with no dents.  Assembly relatively easy - I mean, there is some dexterity involved, but it wasn't difficult.  Unit immediately fired up.We'll be using it all winter into the spring.  "", 'It came on time.  Easy to put together but the pilot won’t light. Very disappointing! I’m going to see if I can get it serviced since I’m desperate to have a gas heater for outdoor use for my business.  If I can’t get it to light, I’m returning it.', ""I purchased it couple of years ago, but after couple of time using it, the heater wouldn't turn on!!! I only used it twice the first year, and it still looks nice but it doesn't work. I didn't realized that I had purchased the 3 year insurance online for it, so when I realized that I have insurance, I filed a claim to get it serviced or replaced, but insurance company was not very helpful, and asked to have it repaired at a certified repair shop, which I didn't find one in OC county, and the other option was to give 50% of the cost!! I rather they would sent a repairman to fix it or replace it!!"", 'This was easy to set up and works great! We had one minor issue and that was the latch for the door. It didn’t come with the bolts for that but no problem a couple small nuts and bolts from my garage and it is awesome!', 'The Items are both working fine so far. My only issue is, one of the items was considerably damaged as you can see in the pictures.', 'Incredible bargain, and very well made. Hot! Hot! Hot1 The assembly is a bit challenging, but worth the effort.', 'As described, very well made, nice looking!', 'Great price.  Works as advertised.  would recommend']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",17 in,,"HLDS01CGT, HLDS01-CGT",,United States,1 year,0872313014469,0872313014469,PRIMEGLO,48000 BTU,Flame,Propane,,"Silver, Brown",,1,HLDS01-CGT,,Steel,,,,,,Large,87 in,55 lb,,,,,,,,,,,,2020,,,,,,,,17 in,,,,,,,Outdoor,No,,,,Bronze,,,,,Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 ft,Wheels,Mushroom,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIDGID Heater Portable Electrical Brushless Hybrid Propane Durable Outdoor Steel,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",19.34 in,See item Description,,,United States,None,,,RIDGID,,Portable Heater,Electric,,,,,R8604242B,Handle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6 in,,See item Description,,,,,,No,,,,,,,,,,,,,,,,,,,3 Stars,,,A++ - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fire Sense Indoor/Outdoor Wall-Mounted Infrared Heater, Silver Stainless...",207.28,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,02110,Infrared,,,0001910176038,0001910176038,Fire Sense,,,"Electric, Propane",,Silver,120 V,1,,,"Aluminum, Steel",,,,,,,,8.2 pounds,,,,,,,,,,,,2018,Wall,Fire Sense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor Living & Patio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 x 4.5 x 7.5 inches,8.2 pounds,02110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,000 BTU, Ventless Dual Fuel Infrared Plaque Heater with Base and Blower, T-St",208.63,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,744110119947,0744110119947,HearthSense,,Does not apply,,,White,,Variable,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermostat,,29.7 lb,,Unvented,"PFS Certified,PFS Listed",Whites,8.46 in,24.1 in,,Multiple,,1000,,30000,25.5 in,Gas Wall Heater,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piezo,"3/8""",Yes,Dual Fuel,No,No,Freestanding or Surface-Mounted,Greater than 900,No,Yes,Yes,1,99.9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Mr Heater Big Buddy Portable Propane Radiant 3 Heat Settings Indoor 18,000 BTU",209.99,29 watchers,"[""This heater is fairly large.  Don't expect it to fit under your legs in the bleachers.  The handle is really handy, but makes it pretty tall.This heater is very versatile. It can be like the smaller versions with just one element on at half power, full power, or both elements on full power.  It goes through propane about the same as all the other ones I've seen, and full power is a lot of power.  The fan (powered by D cells) blows warm air in your direction, which is nice because otherwise it just goes straight up.IMHO it's way handier than the smaller bottle mounted version because it doesn't tip easily and it's not as tall.  It puts the heat in a better location.It's not a small heater, but is powerful, well built, and looks like it will last."", 'this id the 2nd one I have owned  first one was 5 years old and used every day it was cold it keeps our coach warm enough on low  and very economicl to run do recomend getting the hose with regolator and using a 20 pound bbq grill tank outside  and keeping a couple of the one pound throw aways in reserve incase of a midnight run out of gas senero , teriffic for those emergencies and blizzards requires no electric to run just a couple batteries to run the fan but will still  produce  het with out fan not operating . has the o2 depletion piliot light that lifts off if o2 level gets to low plus tip switch incase it gets tipped over by accident , Like any heating device care should be taken to assure you are opperating it in a safe manner and following the instructions that states the clearences on ll sides ', 'Current house furnace is out and this unit has filled in amazingly well.  Live in MN and have 2 of these with a couple electric room heaters for 2000 sqft plus home and been heating for a month.  Do recommend the 20# Walmart propane tanks w/ gauge for $48 and conversion hose to unit for more economical heating that the small canisters.  CAn heat for nearly a week.  Have CO monitor and never have had it go off once.  They are made to be CO free .  We do not leave them running when not home for safety reason but never yet had an issue.  ', 'I bought this to be able to work in my 2 car garage during cold days. It works very well. The only drawback I could see is that the fan moves very little air. Otherwise, I would have given it a 5 star rating....  Made the garage able to be worked in with no jacket in about 2 hours (on a 15 degree day)  Well worth it...   And would be great thing to have if an ice storm hits and the power (heat) went out...  Costs less than a buck an hour worth of propane to run on High.  I bought a 15 lb tank and ran it for about 18 hours.....    I plan on getting a couple of portable 1 lb bottles and a refill adapter.....', 'Got Mr. Heater for a heater in my outside work area and as an emergency backup heater in case of power failure in a storm or the heat pump went bad in middle of winter. Works perfect and am using hooked up to 20lb propane tank and also little 1lb tanks. Either way is working perfect.  This thing will run you out of house on 18,000 btu setting.  Always vent from a window or door to keep oxygen fresh and will be good for indoor use, you will still be plenty warm and no worries about any pipes freezing. Great product', ""This little heater is just the ticket for quickly warming up our home on those chilly mornings. ,I live where we seldom get any colder than 40 degrees at night , we don't run any heater at night for safety reasons ,although I feel this heater is safer than any electric one , no cords to overheat . I turn it on in the morning and in 15 minutes the chill is taken off the house. I use a small fan to circulate the heat more than the one that comes with the heater which is efficient for one room.  I also purchased the 12 foot hose and regulator so I can hook to a 30 lbs bottle out side the house. just ran the hose through an existing tv cable  hole. I can get about a week of heat out of one bottle at 16.00 to refill. That is much cheaper than running electric space heaters."", ""The dogs and I have a very comfortable warm environment now that the heater is able to be used. They are so happy that the inside of the motorhome is a lot more comfortable. We have been having nights that are in the upper twenties and low 30s so we're really grateful to have a heater the prize this my cheat on low setting it it basically heats the Whole 30 ft motorhome it generates more than enough heat on low and will run for a hundred hours on that setting .  It is very warm at got my  farm in Coupeville Washington. thanks a lot for a great item!!"", 'I\'ve been hunting deer for 42 years now and never worried about the cold weather when I was younger, mostly because pop-up portable blinds and portable heaters like these were not available back then. But my youngest daughter started hunting with me 6 years ago and after watching her brave a particularly cold opening day her first year I decided there had to be a better setup so she could enjoy going with me and I could insure I would get to continue to enjoy spending such moments with her, so I bought my first ground blind and my first Mr. Heater Little Buddy heater, and closing weekend of rifle season was soooooo much more enjoyable. Having a heat source to warm our feet made all the difference in the world being able to sit beside my daughter and just watch her scan our surroundings for her first deer, and did she take a beauty! After realizing how great the difference in the experience having shelter and heat made, I broke down and bought blinds for my Dad, nephew, and great friend who owns the property where we hunt, and then decided everyone should be able to stay warm and enjoy their time in the field as well, so I retired my Little Buddy heater and bought three of the Buddy heaters and one of the heater/cooker models and stocked each blind with a heater. The difference between the Little Buddy and the bigger Buddy models is very noticeably different! Running the bigger Buddy heaters warmed up a two person ground blind sufficiently enough to allow us to take off our coats, even with several windows open, and sit comfortably without creating undue noise or alerts to the deer as we watched many feed and browse around in the field in front of us. Hunting went from a cold and trying event to a greatly enjoyed experience spending time with my daughter, my Dad, my nephew, and friend! I\'ve always said a bad day hunting or fishing is better than a good day working anytime, but having Mr. Heater Buddy heaters warming our ground blinds has made such a difference in our time spent together so much more enjoyable that now my oldest daughter is joining in, and that alone made any expense paid for the equipment one of my best investments! Funny story: My Dad was using the heater I put in the blind he was using and after spending the morning hunting we all went to breakfast and I asked him how well he liked having heat, and his reply was, ""great for about 20 minutes and then the damned thing quit and wouldn\'t re-light!"" I asked him if he had opened any windows and he said ""no, it wasn\'t light yet so I was just enjoying staying warm, until the heater went out!"" I started laughing and he was taken aback by my reaction and asked why I was laughing, had I played a joke and given him the junk heater? I said no and told him he should be thankful Mr. Heater saved his life! Not knowing what I was referring to he had a puzzled look on his face, so I told him that the heater has a low oxygen sensor built into it and because he had the windows closed up fresh air could not circulate through the blind and the heater shut off before he could pass out from carbon monoxide poisoning! The look on his face was priceless! All he could say was ""glad someone was looking out for him."" After breakfast and getting some chores done we all went back to our blinds and my Dad made sure he opened some windows and lit the heater, and spent the rest of the day happy and warm. Moral of the story: The safety features built into Mr. Heater heaters work! Excellent design, quality built, and smart safety features all make Mr. Heater heaters great products you can trust and that make experiences during cold weather so much more enjoyable, and if having one gets a friend or family member to join in the fun, that\'s money well spent! Not to mention having the added insurance of staying warm at home should the power go out for an extended period of time during cold weather!   So, that\'s my experience with Mr. Heater heaters, and I can and do highly recommend to anyone needing and looking for a quality and dependable portable small heater, get one. You will be glad you did! ', 'Due to recently power outage frequently, I brought this protable heater for indoor use for emergency. I did not have chance to try it for hour long but I did try and find out it is very practical make and workable. Only issue to me is I don’t aware it need 4 D battery to run and how long one will last.Any how it is a very good product,I highly recommend it.', ""Will be able to use it in my fish house, heat my area that I use for skinning and tanning the furs that I've trapped.  Like the fact that I can hook up to a larger propane tank.  The fan is a bonus and the 3 different heating levels are great also.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",12 in,19 in,"F274805, F274800, F274885, MH18B",,,,089301004825,089301004825,Mr. Heater,18000,"Unit Heater, Portable Oil Filled Radiator","Electric, Gas, Propane",Radiant,"Red, Gray, Yellow, Black",Not Electric,3,Mr. Heater Buddy MH18B,Indoor/Outdoor,Metal and Plastic,Quiet,,,,,,,17 lbs,,,,,,,,,,,,,Garage,,,,,,,,250 to 499 sq ft,,"Rotary Knob, Switch",,,,,,,,,,,,,,,,,,,,,,Ceramic,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyson AM04 Hot + Cool Heater/Table Fan,206.99,60-day returns,"[""Because of  a Great Price offer  so I thought Id try The Dyson AM04as I have nothing but praise for their Vacuum cleaners.   Its not big enough to really cool off a room and its too big to be a desk fan so just keep dimensions in mind when ordering.I like the fan as a Heater more then I like it as a Cool Fan but that's my opinion.I do like that its able to be both a hot and cool fan depending on time of year in one machine.if you think because its a dyson and its expensive you will get a Heater that Burns you or a Cool Fan that will Blast Artic air until you are content, you might be setting yourself up for disappointment.           If sheer Blasting power of either hot air or cool air is what you seek my opinion is Dyson falls Short and cheaper models are available, with more power.I enjoy the bladeless design and having both in one machine and for the price I'm happy!"", 'This product does a great job in a living room on those hot summer days and cold winter nights. The heating function works exceptionally well and automatically holds the room temperature. The fan operation is true to Dyson standards and creates a smooth calm flow of air throughout the room. I definitely am glad that i purchased this unit used since a new unit costs about $400. Way too much for a fan. I am defiantly happy i purchased this second hand.', 'I have always wanted a Dyson hybrid fan and heater and when I saw an opportunity to get it for less than $300, even at refurbished condition, I had to just get it. It IS supposed to be refurbished by a Dyson certified dealer so I felt I could trust its condition to be satisfactory and safe. So far, the fan has been great in circulating air, albeit a little noisy even at its low setting, but it IS a fan and to be expected. I have not experienced using the heat setting yet, although I have tested it to be working so hopefully it will be sufficient for the winter months. Has a few dings, but its cosmetic and all I really care about is that it is safe to use, especially around children.', ""Dyson produces high quality products that can have a problem once in a while so the company reworks the product and sells it at a more attractive price. I've had the hot and cool fan just a few weeks and it's working just fine. It's especially quiet, heats up and cools down quickly, and the remote makes it really easy to control. I also like not needing a separate fan and heater."", 'Fan works great, the remote makes it better. The heater is not as warm as most electric heaters, but will warm things if left on for a while. Saves having two separate devices. Was refurbished, but looks good and nicely packaged for shipment.', 'We used it on our sail boat.  So far just the summer.  It appears the heater works better than the cool.  but it is way better that not having!', ""This fan/heater moves a lot of air in fan mode, and heats up quickly (however it takes about 20 seconds for the heating element and fan to switch on once the heater is engaged).It's probably a little quieter than most fans that move this much air, but it's not as whisper quiet as the new Dyson models. Even on the the lowest fan setting it could be considered a good sleeping noise maker. As advertised mine did not come with a remote, but I ordered one off the Dyson website and it works perfectly. I'm a big fan of this fan. 4/5 stars only because it's a little louder than I expected, but aside from that I LOVE IT."", 'I also have a brand new version so I can compare versions that are 5 apart and honestly there is very little difference from one to the other. I think we should all keep that in mind when considering the possibility of getting a newer version.  It is amazing how close to each other they are in function. Truly amazing.', 'High quality materials, high performance.', ""I have wanted this Dyson fan for 6 years,but couldn't afford it. When I saw it on sale I didn't  hesitate and ordered  it. I am extremely  thankful  it came  early,as we were hit with a heat wave that lasted ten days at 110 degrees.""]","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,AM04,,Japan,,0879957005853,,Dyson,,Tower Heater,"Battery, Electric",,"Blue, Multicolor",,,Dyson AM Fan Heater,"Timer, Oscillation",,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,Remote Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Portable Heater 1,500-Watt Infrared Nonslip Base with Remote Control",208.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,6101,Infrared,,,0046013766762,0046013766762,Lasko,,,Electric,,"Silver, Gray, Black",120 V,2,,Timer,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Switch, Remote Control, Digital, Touch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 6101 Convection Heater - Infrared - Electric - 1.50 kW - Silver, Gray",207.45,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,6101,Infrared,,,0046013766762,0046013766762,Lasko,,,Electric,,"Silver, Gray, Black",120 V,2,,Timer,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Switch, Remote Control, Digital, Touch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR. HEATER 1/4 In. NG Quick Disconnect F276186 Pack of 6,207.76,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,F276186,,,,089301761865,,MR. HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
