Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,MPN,UPC,Type 1,Air Direction,Time Control,Style,Room Coverage Area,Noise Level,Modified Item,Modification Description,Height,Bundle Description,Manufacturer Color,Width,Cable Length,EAN,Colour,Location,Marke,Herstellernummer,Model Number,Category,Size,ISBN,Refrigerant,Current Rating,Item Height,Country of Origin,Binding,Returns,Package Contents,Normal temperature resistance,Energy Efficiency Rating,Heat Output,Heating Method,Manufacturer,Package,Piece Count,Item Weight,Weight,Depth,Tonnage,Recommended Environment,Finish,Heating Technology,Design,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,NumberOfItems,Outside Height,Outside Width,For Use With,Mounting Type,Heater Style,Temperature Range,Plug Type,Power Type,Assembled Product Dimensions (L x W x H),Recommended Location,Assembled Product Weight,manufacturer_part_number,Item Dimensions LxWxH,PackQty,Number of Cool Speeds,Compressor Type,Volts,Item model number,Warranty Description,Assembly Required,Product Dimensions,Material Care Instructions,Batteries Required?,Number of Pieces,Included Components,Heating Wattage,Hight,Bundle Listing,Item Condition,Power (W),Shape,Application,Dimension(ID*H),Power Tolerance,Product Name,Expiration Date,ItemWeight,PackageHeight,PackageLength,PackageWeight,PackageWidth,PartNumber,Heating Element Type,Prop65_fl,Prop65Warning,Safety Features,Restricted States,Item,Includes,Length,Hz,Phase,Cord Length,Amps AC,Manufacturers Warranty Length,Watts,Number of Batteries,NEMA Plug Configuration,Heater Type,Battery Size,Air Temp. Rise,Battery Included,Motor Type,Battery Capacity,Battery Life,Voltage Type,kW,BtuH Output,Voltage Range,Label,ProductGroup,ProductTypeName,Publisher,Studio,CFM,Collection,Heater Controls,Product Width (in),Indoor/Outdoor,Product Height (in),Cord Length (in),Product Depth (in),Amperage (amps),Heating Technology Type,Product Weight (lb),PRICE,USE,Handling Time,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Satisfaction,Add To Watchlist,Customer Service,International Shipping,We Dont Accept PO BOX,Heating Wire Material,Time Setting,Dimensions,Adjustable temperature,Applicable Area,BTU Cooling Rating,PackageQuantity,SKU,Returnable,Power/Fuel Type,Room Size,Heating Product Type,Area Heated (Sq. Ft.),Wattage (watts),Voltage (volts),sku,Area Heated (Sq Ft),Color Family,Certifications and Listings,Portable Heater Safety Features,Portable Heater Features,Model No.,Number of Bulbs,UL Listed,Rated power
"De'Longhi Comfort Temp Full Room Radiant Heater, Black 120V-1500W",57.95, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,DeLonghi Mica Thermic HMP1500,,,,27 in,,Aluminum,,,Electric,"Panel Heater, Flat Panel","Portable, Personalized Comfort, Sleek Look, Full Room Warmth, Indoor, Convenient Wall Mount",,,Black,,Quiet,,Freestanding,31.340,2,250 to 499 sq ft,1500W,5120,De'Longhi,,Mechanical Controls,,,Micathermic,,110 V,HMP1500,0044387915007,,,,,,,,,,,,,,,,,,,HMP1500-6A,,,,,,7.170,,,,,,,,,De'Longhi,Opened manufacturer Packaging.,2,17.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado TH20 Whole Room Tower Space Heater 3 Heat Settings Black,59.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,Tower Heater,,,,Black,,,,,,,,,,Vornado,,,,,,,,TH20,043765014936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAUX Heatcore Electric Portable Space Heater - 1200W for Home or Office Desk,, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,B08LMZ8TSC,,,,,,Ceramic,,,Electric,Portable Heater,Auto Shut-off,,,White,,,,,,,,1200w,,BLAUX,,,Ceramic,,Radiant,,110 V,Does not apply,Does not apply,,,,,,,,,,,,,,Does not apply,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14"" All Metal Portable 1500 Watt Utility Radiant Electric Milkhouse Heater",56.72, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,8 in,10 in,,Steel,,,Electric,Baseboard Heater,Multiple Features,,,Black,,,,Baseboard,15 in,2,,1001-1500 W,,Does not Apply,,Dial,,,Radiant,,120,Does not Apply,Does not Apply,,,,,,,,,,,,,,Does not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Electric Tower Heater Built-in Safety Adjustable Thermostat 1500-W,59.38,30-day returns,"[""This a very cost effective space heater to warm any area during a chilly winter, or - as we had during the early part of the Wisconsin spring - a slightly nippy start to spring. It works to warm a bedroom, normal sized living room (unsure of those with an open plan large setting), or a small area of a basement that you are working in. It has three settings, and has tip-over &amp; overheat protection. I like this product an awful lot, and thus I'll give it 4.5 stars. It does NOT have a remote, but I bought a separate one for that purpose. I am taking a half of a star off because EVEN though it does have tip over protection (meaning it shuts off in that case), it is slightly more easy to tip over than I thought it was. So if you have pets, it might NOT be the BEST idea to use it when they are out playing - NOT so much for safety sake, but to prevent your fur baby from getting injured stepping on it."", 'Works very well and set up takes only a few minutes...', ""This will be my last one. The last one I bought. Lasted one heating season.then quit. Everyone I've ever bought.never makes it through 2 heating season.and I've bought several.over the years. I'm done."", 'I am very happy with this portable heater it works awesome and provides heat to my bedroom, it feels confortable now, thanks so muchGreat Product at a nice PriceTotally Recommended', ""I've bought two of these heaters .Two years in a row . I live in Florida the winters aren't that long . The first one tipped over started making a loud rattling noise .Sent it back to manufacter to repair or replace according to warranty. Never heard from them .Second heater just stopped working I don't  know why .How ever when a pinch and finances are limited .I guess it will have to do .Survivor"", 'Has operated as advertised with one exception. The thermostat doesn’t function properly. It may be a problem with this unit only, difficult to say. This is not a deal breaker for me, only do to the way it’s used. ', 'This is a smaller version and much louder than the one I have ""like"" it, however it works ok, just not as elegantly because the fan even on low is VERY loud.. (great for passive aggressive people...) or loud locations anyway...sounds like a muffled vacuum cleaner.. ', 'Solid heat..Twice the cost of what the CZ550 1500w used to be but has increased to be in just a year &amp; only lasts 1 year or more if used daily during the cold season; so will see how long this model lasts with the same use. ', 'Was used, no just open box as stated.  Works fine but has something melted on the top.', 'I like the safety features and it can fit in just about any room and look nice.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,CZQTV007BK,,,,13.50 in,,"Ceramic, Plastic, Metal",,,Electric,"Tower Heater, Radiant Quartz Heater","Nonslip Base, Portable, COMFORT ZONE CZQTV007BK 1,500-Watt Radiant Quartz Tower Heater, Thermostat, Automatic Shutoff,Nonslip Base, Heater, Oscillation, Automatic Shutoff, Indoor, Quartz, Adjustable Thermostat",Infrared,15 Minutes,Black,,,,"Under Desk, Desk/Tabletop",23.60 in,2,Large,1500 W,,comfort zone,,"Rotary Knob, Switch, Touch, Analog/Mechanical",,,Radiant,,12 V,CZQTV007BK,0075877251473,,,,,,,,,,,,,,0075877251473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far Infrared Wall Hung Heating Panel Village Electric Film Heater 110V 470W,59.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Infrared Wall Hung Heating Panel,,,,570 mm,,technology based on a carbon thread,,,Electric,Panel,Portable,Infrared,,Multicolor,,,,,,,15 sq ft,,,CG HOME,,,,,,,110 V,Does Not Apply,Does not apply,,,,,,,,,980 mm,,,,,,,Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater MH9BX 9000 BTU Propane Portable Buddy Heater ,55.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Mr. Heater Buddy MH9BX,,,,,,Steel,,,Propane,Portable Heater,"Handle, Indoor, Cordless",,,"Red, Black",,,,Garage,,2,225 sq ft,801-900 W,"4,000/9,000",Mr. Heater,,Analog/Mechanical,,,Heat Pump,Less Than 80%,Not Electric,,0089301321618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell HHF360V 360 Surround Fan Forced Heater Black Brand New Unopened,55.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Strip,Honeywell 360° Surround Heat HHF360,,No,7.2 in,7.2 in,N/A,"Aluminum, Steel",A,N/A,"Electric, Fan",Portable Heater,"Safety Shut-Off, 360 Degrees, Auto Shut-off",N/A,,Black,2021,Standard,3 or Less,Floor,11 in,3,100 sq ft or Less,1500 W,3000-3999 BTU,Honeywell,3 Years,"Rotary Knob, Switch",Ceramic,A+++ - D,Forced Air/Fan,Less Than 80%,120 V,HHF360VWMV1,0092926293604,,360 Degrees,,,,,,,,,,,48 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Toastmaster | Baseboard Heater | 40.5” L | 120V 4540 BTU 1320 Watts,, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Baseboard Heater,,,,,,Steel,,,Electric,Baseboard Heater,,,,Beige,,,,Baseboard,,5 or More,,1001-1500 W,4000-4999 BTU,Toastmaster,,Dial,,,Forced Air/Fan,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Arvin Heater Art Deco Green Works,59.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,Steel,,,Electric,,,,,Green,,,,Floor,,,,,,Arvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINTAGE ESTATE RADIANT HEATER,60.0,5 watchers, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Coil,,Unknown,No,N/A,N/A,N/A,N/A,Not Compliant,N/A,Electric,Portable Heater,,N/A,N/A,,,Standard,,Floor,N/A,Variable,,,N/A,Estate,None,,N/A,,Radiant,N/A,120 V,,,,1-Way,,,,,,,,,,,N/A,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,Less Than 2 tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Rival T621 Electric Space Portable Heater 1500 Watt TESTED WORKS,59.99,5 watchers, ,,Coil,T621,United States,No,,,,"Metal, Plastic",,,Electric,Portable Heater,"Portable, Handle",,,Gray,,light,,,,3,,1001-1500 W,5000-5999 BTU,Rival,None,Rotary Knob,Steel,,Forced Air/Fan,,120V,T621,073056002991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor,Matte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis Del-Rain Original Disc Furnace Model 1500 IV Ceramic Space Heater,59.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Pelonis 1500 IV,,,,,,Ceramic,,,Electric,Portable Heater,,,,,,,,,,1,,Up to 1500W,Up to 5200BTU,Pelonis,,"Rotary Knob, Switch",,,Forced Air/Fan,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vornado TH20 Whole Room Tower Space Heater, 3 Heat Settings, Black",55.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",N/A,VORNADO TH20,,,16 in,5.5in,,Ceramic,5 Stars,1 gal or Less (5 L),Electric,Tower Heater,"Auto Shut-off, Oscillation, Timer",,,Black,,Standard,3 or Less,Floor,20in,3,101-150 sq ft,1001-1500 W,Less Than 2000 BTU,Vornado,,Switch,N/A,A+++ - G,Forced Air/Fan,N/A,120 V,N/A,043765014936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Optimus 1320 Watt Personal Portable Fan Radiant Heater with Thermostat, Black",59.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,H-2210,Unknown,,,"9.7, 9.70",,Metal,,,Electric,"Unit Heater, Portable Oil Filled Radiator",Indoor,,,White,,,,,2.3 in,1,,1320,,Optimus,,Switch,,,Radiant,,120 V,"H2210, H--2210",0630326122102,,1-Way,,,,,,,3.7 in,,Black,5.9 in,,0630326122102,,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor/Outdoor,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15mmX4200mm 400W 220V Keenovo Univeral Silicone Heater/Pipe Heating Strip/Belt ,44.23,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,China,,,,,,,,,,,,,,,,,,,,,,,KEENOVO,,,,,,,,K01542000400220,,,,,,,,,,,,,,,603629513540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom Design Welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Comfort 800-Watt 120-Volt Parabolic Electric Space Heater JHS-800H,56.33,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,,China,,11 in,10.000,IFTTT,"Steel, Ceramic, Aluminum",,1 gal or Less (5 L),"Fan, Electric",electric-space-heaters,,Infrared,2 hrs,Black,2000,,3 or Less,"Baseboard, Desk/Tabletop, Floor",17.800,2,100 sq ft or Less,701-800 W,Less Than 2000 BTU,Mainstays,,"Analog/Mechanical, Switch, Rotary Knob",Steel,,Radiant,Less Than 80%,110 V,JHS800H,009326453217,,,,,,,,,,,,,100 sq ft,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Tower Space Heater Manual Thermostat 16-Inch 1500-Watt Electric Ceramic,59.82,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Lasko 5307,,,,"5.95""",,"Ceramic,Plastic, Ceramic, Plastic, Plastic Housing",,,"Fan, Electric","Electric Portable Heater, Tower Heater, Air Heater","Handle, Timer, Indoor, Cool-Touch Exterior, Portable, Carrying Handle,Cool-Touch Exterior,Oscillating,Thermostat, Carrying Handle,Cool-Touch Exterior,Oscillating, Carrying Handle, Oscillating, Tip-Over Safety Switch,Oscillation,Thermostat,Timer,Handle,Nonslip BASE, Tip-Over Safety Switch, Tip-Over Safety Switch,Oscillation,Thermostat,Handle,Timer,Nonslip BASE, Thermostat,Carrying Handle,Cool-Touch Exterior,Oscillating, Oscillation, Cool-Touch Exterior,Oscillating,Thermostat, Heater, Carrying Handle,Cool-Touch Exterior,Thermostat,Oscillating, Oscillating Thermostat Handle Overheat Protection Cool Touch Housing",Ceramic,15 Minutes,"Gray, Gray,Black, Black",2019,Low,,"Portable, Wall",,3,250 to 499 sq ft,1500,,Lasko,,"Dial, Dial,Digital,Switch,Touch, Touch,Digital,Dial, Switch, Digital, Touch",,,Convection,,120 V,5307,0046013766052,,,,,,,,,,,,,,0046013766052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Westinghouse Infrared Electric Outdoor Heater Oscillating-Portable, White",58.69, , ,,,WES31-1200MWHT,,,,,,,,,Corded Electric,Outdoor Heater,,,,White,,,,,,,,,,Westinghouse,,,,,,,,WES31-1200MWHT,822990020918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WES31-1200MWHT,8.6,8.6,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flikrfire® ~ Flame Portable Personal Sm - Heater / Fireplace *BRAND NEW in BOX!,59.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,No,,,,,,,,Portable Heater,,,,Gray,,,,Desk/Tabletop,,,,,,FlickrFire,,,,,,,,,195893544417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKEL 3320EX33 Wall Heater Accessory Surface Mounting Frame  Brown,59.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,16.500,,,,,,,,,,Brown,,,,,,,,,,MARKEL PRODUCTS,,,,,,,,3320EX33,686334378451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"20-27/32""","15-29/32""",Mfr. No. E3323TD-RP To G3327TD-RP,Mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Heating fan Electric Heaters for Winter Space Heating Stove Radiator Desktop,59.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,heating fan,China,,6 in,14 in,,Ceramic,A+++,1 gal or Less (5 L),"Electric, Fan",Portable Heater,Timer,,,White,,Standard,3 or Less,Desk/Tabletop,26 in,2,100 sq ft or Less,,Less Than 2000 BTU,Unbranded,,Push Button,Brass,A+++ - G,Forced Air/Fan,,900V,does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dura Heat Propane Tank Top Heater. Single Element.,56.99,11 watchers,"[""A tank of propane last 6 2/8 days that's my moderate use and it warms up a garage just nice I did not expect the performance did I'm getting from the heater all I can say is five stars without a doubt that is as long as you have propane LOL is it great deal I got it at $44.58 worth it all the way."", 'We are very happy with this heater. Most of the other brands have a safety switch that if the heater is moved it will shut off. We own two other brands and have trouble with them staying lit. Once you let go of the button, they turn off. It seems to be an issue with the safety switch. Safety is important but if the heater won’t stay lit you might as well throw it away. We are very happy with this heater and purchased another', 'In a cold garage - set it up in your area - takes the chill off and after a couple hours it actually gets too hot . Works great in my opinion.', ""This worked very well to heat my garage for winter, gets the chill off and doesn't break the bank for propane. I plan to buy another for my other workshop. Great price."", 'This is a great little gas heater that you can take anywhere to use', 'Very effective in heating my outdoor shop. ', 'Hooked it up in the garage, started it and it worked great.  It puts off some good heat!', ""The product worked perfectly right out of the box. First try it fired right up. I'm very happy with my purchase. "", 'great heater, i have one and got one for friend of mine, works great in my two car garage, will take the edge off of your cold tools and concrete as well! fantastic heater, also work great in wall tent', 'Works awesome.  Very easy to use and heated better then Icould have imagined.  Its a great value and plan on buying anotherone!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Dura Heat TT15S,,,,,,Steel,,,Propane,Portable Heater,,,,White,,,,Floor,,Variable,,,14000-14999 BTU,DuraHeat,,Analog/Mechanical,,,Radiant,,,TT-15S,0013204200152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton 2YU59 kawai 0806  480V 18020065015 Heater,58.5, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,,,,,,,,,,,,,,,,,,,Dayton,,,,,,,480 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
