Title,Price,Sold,Reviews,Condition,Item Depth,Item Width,Energy Efficiency Rating,Tank Capacity,Operating Sound Rating,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Material,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Power,Year Manufactured,Country/Region of Manufacture,Manufacturer Warranty,Energy Star,Color,Custom Bundle,Height,UPC,Timer Control,Air Direction,Cable Length,Tonnage,Smart Home Protocol,Power (W),Manufacturer Part Number,Heating Method,Heat Output,Compressive strength,Power deviation,Cable length,Manufacturer Color,Heating Technology,Current Rating,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Wattage (watts),Cord Length (ft),Color Family,Heating Area (sq ft),Outdoor Living Product Type,Fuel Type,Assembled Width (in),Housing Material,Pack Size,Voltage (volts),Product Weight (lb),ISBN,Size,Room Coverage Area,Heating Wattage,Time Control,Refrigerant,Smart Home Compatibility,Room Size,Indoor/Outdoor,Portable Heater Features,Amperage (amps),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Power/Fuel Type,Heater Type,Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Number of Items in Set,Firmness,Product,Department,Mount Type,Style,Room,Assembly Status,Set Includes,Weight,Heating Technology Type,Heating Product Type,Area Heated (Sq. Ft.),Suitable for Safe Rooms,Warranty,Wattage,Application,Certifications,Clearance,Maintained Operational Temperature,Recommended Environment,Remote Control,Product Type,Number of Burners,Is Electric,Assembled Product Dimensions (L x W x H),Count Per Pack,Count,Gender,Price Per Unit UOM,Variant Attribute Names,Number of Shelves,PPU Quantity of Units,Manufacturer,Age Group,Is Portable,Recommended Room,Piece Count,Multipack Quantity,Is Assembly Required,Power Type,Product Name,Home Decor Style,Seating Capacity,Number of Drawers,Global Brand License,Theme,Watts,Depth,Baseboard Heating Type,Certifications and Listings,Hydronic,Product Length (in),Thermostat,Vented,Heat rating (BTU/hour),Thickness,SHIPPING,RETURN,ITEM LOCATION,International buyers,Heating BTU,Location,Bundle Description,Item Height,Heater Style,Original/Facsimile,Author,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Item Weight,Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Batteries Required?,Country of Origin,Item Dimensions LxWxH,Number of Pieces,Included Components,Modified Item,sku,ProductType,Prop65_fl,Prop65Warning,ProductGroup,ProductTypeName,Recommended Location,Assembled Product Weight,SKU,Form Factor,Heating Element,Maximum Heat Power,Product Model,Timer,Noise Level,Number in Pack,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Assembled Height (Inches),Color/Finish Family,Heat Type,Cord Length (Inches),Use Location,Current Rating (Amps),Assembled Depth (Inches),Cool-Touch Housing,Tip-Over Safety Switch,Safety Listing,Design,Maximum Wattage,Display Type,Lowe's Exclusive,Control Type,Oscillation,ALCI Safety Plug,Energy Saving Setting,Maximum BTUs,Overheat Shut-Off,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Assembled Width (Inches),Supplemental Heating Area,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Bundle Listing,Model No.,Accessory Type,Resistance Properties,Brand compatible,Cod. ETCO,Mark,UPC/GTIN Code,Mor Electric Heating SKU,Application/Usage,Area Coverage,Input Current,Input Voltage,Weight (Approximate),Actual Color,Feature,Origin,Patio Heaters Type,Binding,Studio,Publisher,PackageQuantity,NumberOfItems,Label,PackQty,Batteries Required,item_width,Max Weight Recommendation,item_length,Use,Price,Seller,Service,USA Shipping,Customer service,Shipping Exclusions,Number Of Heat Settings,OutOfStockControl,Width,ProductReferenceID,Length,Minimum Heat Power,Product Family,Product Line,Gift,Temperature,Heating power,Waterproof rating,PartNumber,Volume,Warranty Description,Import Designation,Finish Types,Is Discontinued By Manufacturer,Batteries,Material Care Instructions
Mr. Heater 10-Feet Buddy Series Propane Hose Assembly (2-Pack) Bundle (2 Items),76.39,38 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Propane,,F273704X2,,,,Mr. Heater,,,,,,,,,,,,,,,,Black,,,700690399841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VULCAN E-OSF-1510-200A Low Profile Enclosure Heater,200W,120V",79.33, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,0094700475633,,1,E-OSF-1510-200A,,,,Vulcan,,,Enclosure Heaters,,,120,E-OSF-1510-200A,,,,,,,,,,,,0094700475633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis Disc Furnace Portable Space Heater Honeycomb Ceramic P-861-TC/VHC EUC,75.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","5""","6""",,,None,,"7""",,,,Electric,Variable,P-861-TC/VHC,"Ceramic, Steel",Ceramic,,Pelonis,Ceramic,Less Than 2000 BTU,Portable Heater,"Analog/Mechanical, Rotary Knob",Furnace,120 V,Portable Space Heater Honeycomb Ceramic,551-600 sq ft,,"Baseboard, Desk/Tabletop, Floor, Window",1001-1500 W,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heating Pad Heater With Controller Thermal Tool 1200W 110V/220V Electric,73.72,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,Does Not Apply,Silicone rubber,,,Unbranded,,,,,,,Heating Pad,,,,1200W,,,,,Orange,,,,,,,,,,,,,1500v / 5s,± 8%,200 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Heater For Home Heating Mini Electric Warm Air Heater Fan Office Room 1500W,79.54,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",N/A,N/A,,N/A,None,N/A,N/A,,N/A,,"Electric, Fan",1,N/A,"Flame-resistant, Aluminum foil heat dissipation",n/a,,YANKE,PTC,N/A,Portable Heater,Push Button,Forced Air/Fan,110V 220V,YC-20-NF001,10-20(㎡),"Tilt, automatically close when moving, Overheat blackout protection",Desk/Tabletop,1001-1500 W,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Heating Pad Device 200cm Cable Silicone Orange Heater Flexible,73.46,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,Does Not Apply,Silicone rubber,,,Unbranded,,,,,,,Heating Pad,,,,1200W,,,,,Orange,,,,,,,,,,,,,1500v / 5s,± 8%,200 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"098205-04 Flame-Out PP203 Safety Control for DESA, REDDY, MASTER and others",77.95,136 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,"098205-04, 098205-4, PP203, PP203KT, HA3003, M50671-03, 98205-04, 98205-4, 98205, 098205",,,,Master,,,Heater Flame-Out Safety Control,,,,098205-04,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Electric Ceramic Oscillating Space Tower Heater 23"" 1500-Watt Thermostat",78.11,30-day returns,"['The tower was new ""opened box"" performs great.  I use it in our living room to supplementfurnace heat and save money.  The oscillation is a good  feature.', 'This  heater has some great features. Puts out an sufficient amount of heat for one room. Great buy! ', 'Fan is very fast at heating our bathroom.  Adjustable temperatures makes it nice.', 'I love my new Lasko Ceramic HeaterHeats the entire room quickly and quietly. I just bought another. I love this. ', 'This is such a cute heater and performs great. Love it in my kitchen, is just perfect.Loving it.', 'I had one of these for 10 years before it died. I looked for the same model seeing as the first one worked so well for so long. This one is just as good as the first one was. Hopefully it will last just as long.', 'Heats quickly, lightweight, and puts off a good amount of heat, love putting it in the bathroom before I shower!', 'Works well on my enclosed porch exactly as advertised. Especially like the oscillating fan.', ""Heats my son's approximately 500 square ft bedroom in a matter of minutes on the low setting. The high setting is almost too hot to run for long periods this thing works so good. Definitely a great buy for rooms with a draft or just looking to lower heat cost in the winter."", 'Gives out Great Heat and Is Temperature Controlled.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,0046013761798,Electric,2,"LASKO5775, 378, 5775",Ceramic,,,Lasko,,,Tower Heater,"Push Button, Digital",Convection,,5775,,"Timer, Oscillation",,,,,,,"Silver, Gray, White, Black",,,0046013761798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antique 1930s Wesix Electric Space Heater RCS-1 1/4 115 Volts 1250 Watts Works!,75.0,30-day returns, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",6 in,10 Inches,,,,,16 Inches,,,,Electric,1,,Steel,Coil,,Wesix,Steel,,Portable Heater,,Radiant,120 V,RCS-1 1/4,,,Floor,1001-1500 W,1940,United States,,,Silver,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ600 White Convection Space Heater 1500W with Digital Thermostat,76.61,30-day returns,"['The heater is quiet and produces a good amount of heat.  We have two of them.  One in our bedroom to supplement night time heating while the rest of the house is set at a cooler temperature (room about 400 sq. ft.)  The other we use in a small mountain condo to supplement the regular heater when temperatures are very cold outside (~650 sq. ft.)  In both cases, the Comfort Zone heater supplies quiet heat that keeps us warm.   ', ""Wanted a heater that was absolutely quiet for use in a meditation room. Have used this one for a couple years now and it is perfect. Multiple heat settings. Low heat is just right for the small (10'x12') room it is in. A digital thermostat would be nice, but the analog dial built-in t-stat built-in is very repeatable. We just make a little mark where to set it for comfort. You hear a tiny click when it cycles on or off, but no other sound. Reasonable price. Recommended!"", 'this heater is so nice it is working very well in fact it is plugged in wright now and we thank you so much.', 'We are very happy with this compact,  well made heater.  Our winters are basically mild, but we can have some really cold weather for short periods.  The heater has worked great.', 'Well made heater, excellent quality', 'This heater is junk it draws to much power and burns up the cord and the wall socket that you plug it into, i used one of there extension cords that are made for appliance use i contacted the company and told them what happened  they told me sorry to hear that BUT by using there cord that is made for appliance use said that voids the warranty, so this is what you get when you buy there products.', 'Very pleased heats very well and energy efficient.', ""Only good if you sit in front of it on high. Didn't warm room at all"", 'Keeps the bedroom perfect temp, on the lower setting.  And silent, as advertised.', 'Great little heater for a small room.  Fan is recommended to move heat around room.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,6.13,,,,,30.3,,,,,,,,,,Comfort Zone,,,,,,,Comfort Zone,,,,,,,,,,,,075877250407,,,,,,,CZ600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfort Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,,,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Electric Tower Space Heater 1500-Watt Ceramic Oscillating Remote Control,75.51,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,3 quiet settings,,,,,0046013763150,Electric,2,6462,"Ceramic, Plastic, Metal",,,Lasko,,,Tower Heater,"Remote Control, Touch",Ceramic Heater,,6462,,"Handle, Timer, Indoor",,1500 W,,,,,"Silver, Gray",,,0046013763150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Elite Collection Ceramic Utility Heater,78.85, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,CU12510,,,,Lasko,,,Convection Heater,,,,CU12510,,,,,,,,,"Black,Gray,Red",,,046013777393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW WORLD MARKETING FA1210 DESA IN LINE KEROSENE FORCED AIR HEATER THERMOSTAT,79.95,43 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,FA1210,,,,World Marketing of America,,,,,,,,,,,,,,,,,,,013204712105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mainstays 1500W Mechanical Oil Filled Electric Radiator Heater, White",80.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,14 in,,1 gal or Less (5 L),None,3 or Less,,,Less Than 80%,,"Electric, Oil",3,WSH07O2AWW,Steel,,,Mainstays,,Less Than 2000 BTU,Portable Oil Filled Radiator,Analog/Mechanical,Radiant,120 V,AEG WKL 1003 S,100 sq ft or Less,,Floor,1001-1500 W,2020,,,10 Stars,White,,,810004819313,,,,,,,,,,,,,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heater Oil Filled Electric 3 Setting Low Cost Radiator Wheeled Home Office,75.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,Does not apply,,,,Does not apply,,,,,,,Does Not Apply,,,,,,,,,White,,,705353613098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 x 5.7 x 23 (L x W x H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600 W (low heat setting), 900 W (medium heat setting), 1500 W (hi",20 lbs,Oil-filled,5.7,1 x oil-filled radiator,4.2 lbs,"120 V AC, 60 Hz",Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presto HeatDish Plus Footlight Parabolic Electric Heater 07913 BRAND NEW IN BOX,99.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,,,,Presto,,,Portable Heater,,Radiant,,,,,Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOSTORIA 671-3492 Elc Infrd Htr Tblr Elmnt,3/8""x19-1/2""",76.89, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,0686334883894,Electric,1,FFH-512A,Aluminum,,,Fostoria,,,Infrared Heater Elements,,,120 V,671-3492,,,,,,,,,Gold,,,0686334883894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heater For Home Foot Warmer Heating For Office Home Christmas Gift Energy Saving,79.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",n/a,n/a,,1 gal or Less (5 L),law,n/a,n/a,A+ - G,Less Than 80%,,"Electric, direct current",3,does not apply,Steel,PTC,,Unbranded,PTC,850-1199W,Portable Heater,"Remote Control, Switch",Forced Air/Fan,230V,k-116,20㎡,"Air Electric Heater, Heater Electric Low Consumption, Electric Space Heater",Desk/Tabletop,850-1199W,,,,5 Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINTAGE LASALLE Portable Electric Space Heater 195 K1  WORKS WELL NICE SHAPE,75.0, , ,,,,,,,,,,,,Electric,Variable,195K1,Steel,,,LASALLE,,,Portable Heater,,,120 V,195 K1,,,,,,United States,,,Blue,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado AVH2 Advanced 1500W Space Heater with Auto Climate,80.0, , ,,"10""","12""",,NA,Standard,5.1-6,"13""",A - G,NA,,Electric,2,EH1014906,Steel,Coil,,Vornado,Copper,750W/1500W,Portable Heater,"Dial, Push Button, Digital",Forced Air/Fan,120 V,Vornado AVH2,SMALL ROOM,"Auto Shut-off, Timer","Floor, Desk/Tabletop",1001-1500 W,2021,United States,1 Year,A,Black,No,,0043765013816,1-12HR,1-Way,200,NA,Infrared,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
