Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,Compressive strength,Power deviation,Cable length,Color,Location,UPC,Country/Region of Manufacture,Timer Control,Smart Home Protocol,Shape,Mounting,Modified Item,Modification Description,Item Weight,Indoor/Outdoor,Heat Range Diameter,Fuel Type,Custom Bundle,Bundle Description,Assembly Required,Size,Style,Year Manufactured,Cable Length,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,Energy Star,Room Size,Product Depth (in),Portable Heater Features,Wattage (watts),Color Family,Area Heated (Sq Ft),Heater Controls,Heater Type,Product Width (in),Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),ISBN,Refrigerant,Air Direction,Heating Method,Item Dimensions LxWxH,Smart Home Compatibility,Manufacturer Warranty,Tonnage,PRICE,USE,Handling Time,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Satisfaction,Add To Watchlist,Customer Service,International Shipping,We Dont Accept PO BOX,Heating Wattage,Heater Style,Recommended Environment,Time Control,Room Coverage Area,Noise Level,Manufacturer Color,Height,Width,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,Manufacturer,Product Name,Thickness,Heating Product Type,Heating Technology Type,Heat Output,Heat rating (BTU/hour),Pack Size,ITEM HEIGHT,Current Rating,Global Brand License,Home Decor Style,Is Electric,Is Pet Friendly,Theme,Price Per Unit UOM,Count Per Pack,Finish,Number of Burners,Seating Capacity,Is Portable,Number of Drawers,Recommended Room,Count,Age Group,Color Category,Recommended Use,Gender,Actual Color,PPU Quantity of Units,Number of Shelves,Piece Count,Mount Type,Multipack Quantity,Is Powered,Maximum Room Size,Heating Element Type,Cord Length,Plug Type,SKU,Country of Origin,Depth,Form Factor,Input Voltage,Maximum Heat Power,Product Model,Timer,Weight (Approximate),Resistance Properties,Protection Properties,PackQty,Power (W),Oscillating / Non-Oscillating,Phase,Amps AC,kW,NEMA Plug Configuration,Manufacturers Warranty Length,BtuH Output,Safety Features,Hz,NumberOfItems,Watts,BTU Cooling Rating,Number of Cool Speeds,ProductType,Prop65_fl,Prop65Warning,Compressor Type,Origin,Certification,Model Number,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembled Height (in),Heating Area (sq ft),Total BTU,Housing Material,Assembled Width (in),Outdoor Living Product Type,Gift,Shipping,Binding,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,Label,Item model number,Warranty Description,Product Dimensions,Batteries Required?,Length,Is Discontinued By Manufacturer,Heating power,Waterproof rating,manufacturer_part_number,Model No.,Product,Size Type,Bundle Listing,Heating BTU,Batteries Required,package_length,Pattern Name,Cooling Method,Restricted States,Item,Includes,Weight,For Use With,Number of Batteries,Battery Size,Battery Included,Motor Type,Battery Capacity,Battery Life,Voltage Type,Voltage Range,Volume,Import Designation,Department,Finish Types,Number of Pieces,Included Components,item_width,item_length,Compatible Brand,Compatible Model,Connectivity,Stove Type Compatibility,Installation,Memory Card(s) Supported,Playable Media Format,Maximum Magnification,Fan,Heat Settings,Its for,Unit Quantity,Return,Bulb Type,Mount Location,Tax,Number of Elements,Product Length (in),Package,Prop 65,Overall Width,Collection,TAX,Returns,Handling Time:,Questions,ASIN,Thermostat,Baseboard Heating Type,Hydronic,Vented
1500-Watt Electric Quartz Infrared Radiant Tower Heater Black Home Office,80.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0744110748277,,,,Black,,744110748277,,,,,,,,,,,,,,,,,,,CZQTV007BK,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.50 x 8.30 x 22.80 Inches,Electric,Indoor,6.6 lb,World and Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplace Stove Heater 1500 W Electric Realistic 3D Flame Effect Metal in Black,83.57,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,Electric,Electric Portable Heater,Convection,Wall,,"Plastic, Metal",2 Heat,"Switch, Touch",CZFP4,120 V,"Indoor, Cool-to-Touch",,750/1500,,,,Quiet,5120,Under 150 sq ft,,CZFP4,,,,,,,,,,0075877125972,,,,Black,,0075877125972,,15 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Full-Circle Warmth Ceramic Heater with Remote Control (6451),80.56,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,Convection Heater,,,,,,,,,,,,,,,,,,,6451_26,,,,,,,,,,,,,,,,046013775580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Electric Portable Ceramic Oscillating Space Heater 1500-Watt Remote,80.58,30-day returns,"['I purchased the Lasko 5397 oscillating heater for my mom several years ago +- 5 YEARS AGO. She uses it almost year round because she is always cold. She lives in San Fransisco and if you know anything about Mark Twain you know he said the coldest winter he ever spent was a summer in S.F. She called me and informed me that the  \t5397  was making funny noises and had a weird smell. I went over and discovered that it was shorting out. While in the off mode, the top of the unit was getting hotter than it does when it is in use. I took it out of the house and replaced it with the Lasko 5572. I purchased it only a few days ago but already I can tell she likes it even better. The 5397 comes on a pedestal stand. This one pivots at the floor. Because it pivots at the floor, the heat reaches down further on her legs thus she is happier. Don\'t be fooled by the photo, the heating element does NOT come all the way down to the floor but it does come down further then the previous oscillating heater. Both models work great and both have a remote control but this one edges out the other just by the fact that it has a ""longer"" heating element. I love the fact that even when on for 4 hours at the highest setting, if she accidentally bumps up against it or brushes up against it she won\'t burn herself like she would with one of those dish looking heaters. You can touch ANY PART of these ""Ceramic"" heaters (while they are operational and functioning) and NOT burn yourself.', 'I have used a wood furnace for 30 years, but now to old to handle the wood. I purchased the Lasko 5572 heater to see if I could use it to help heat my house. As I had 220 baseboard heaters installed knowing I must give up the wood heat. I was totally supprised with the Lasko heater, it not only helped the baseboard heater,it took the place of the 220 baseboard heater. I had origanly purchased one Lasko heater to try in one room. After the great job it did, I purchased three  more of them. I finished up the winter, heating with the Lasko heaters.  I would recommend them to anyone needing a heater. And If I have to replace any one of the heaters I have, it will be with a Lasko 5572 heater.HJ of Missouri', ""We were absolutely thrilled with the size and capability of this room heater.  It's a little taller than the other Lasko portable heater and our decision to get it was a good one. For our needs, this one is perfect. "", 'I really enjoy my heater.  I live in Arizona where it is getting cooler at night now.  It is very efficient and quiet.', 'Heats small area immediately in the morning, with an increase of 5-10 degrees in temperature within 15 minutes.  Easy to operate, with remote.  As usual: follow directions in the manufacturers manual for best results!', ""Wow, does this put out some heat, and like now..  Don't have to wait for anything to warm up  immediate heat..  2 modes low 900w and high 1500w..  Plus you can set it from 39 degrees to 90 degrees and to kick on automatically if room gets below set temp..  This can almost heat my whole house..  Will prob heat at least 3 rooms.Led readouts are bright and clear, fan, remote, oscillates, has real buttons, not plastic film that will wear out, and stands tall.  Has handle for easy moving.. With gas prices doubling this winter, I'm turning to a space heater so I can lower the thermostat.. "", 'great heater, used it all winter, no problems, good price, fast delivery', ""I don't have this exact model, but I have two similar Lesco 1500w heaters w/digital displays w/remotes.  I bought the second one because one of our tenants lost the remote.  One is #5165, the other one is #755320, the only complaint I have on this model is I had to stick a piece of foam tale on the top of the carrying slot in back so my finger wouldn't slip out of the carrying slot when carrying the heater.  The other heater's slot is angled so your fingers don't slip out.  The one remote does control either heater.  I recommended my satisfaction to a friend and he bought one and is happy with it.  I don't know his model #. I've had the first hater 5 yrs and the second one 2 yrs and both work great."", ""Great heater. Warms my garage better than expected. I'm not scared to leave it on all night unattended."", ""Dose everything it's said it could do""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Tower Heater,,,,Ceramic,,"Switch, Remote Control, Digital",5572,120 V,"Timer, Oscillation",,,,,,,,,,5572,,,,,,,,,,0046013761491,,,,"Silver, Gray, Black",,0046013761491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cast Aluminum Heater Heating Plate Round Shape Electric Water Heater Parts ,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Electric,Electric Water Heater Parts,,,,Aluminum,,,Heating Plate,,,,,,,,,,,,Heating Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cast Aluminum  Heater Heating Plate,20mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VULCAN OSF1523-1000B Finned Strip Heater,240V,23-3/4 In. L",81.73, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Vulcan,,Finned Strip Heaters,,,,Steel,1,,OSF1523-1000B,240 V,,,,,,,,,,,RE8-1000B,,,,,,,,,,0094701036390,,,,,,094701036390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,000 BTU Portable Radiant Propane Heater Therma-blaster with Adjustable Head",82.7,Limited quantity remaining,"['easy to hook up and use. puts out great heat even on low. used for camping but would be great for home/office emergency as well. hook this up tp 20lb tank', 'light easy lite great extra for fish house.', 'Heater works well. Lights well.seems to be rather efficient while in use.', 'Economical heat for your shop..Really puts out the heat.', 'Works good. Excellent heater.', 'good value ', 'works good', 'Works great. Great price and fast delivery.', ""it does what it's supposed to do heats well""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Thermablaster,Propane,Portable Heater,Infrared,"Floor, Desk/Tabletop",,"Ceramic, Steel",1,Rotary Knob,,,"Adjustable,Infrared",,,,Steel,100%,Standard,15000-15999 BTU,,,RE5000FS,4.1-5,,,,,,,,,0850966006192,,,,Black,,0850966006192,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr Heater 30,000-60,000 BTU MH60FAV Contractor Series Portable Propane Heater",85.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Mr. Heater,Propane,Portable Heater,Forced Air/Fan,Floor,,Steel,Variable,Dial,MH60FAV,,,,,,,,,"30,000-60,000 BTU/HR",,8.82 in,F200200,,,15.98 in,,,,,,,,,,,Black,,Does not apply,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METRO MSU-501H(K) Replacement heater unit kotatsu 510W Stepless adjust Low style,83.99,Last item available,"['Great heating performance even for a large table. Easy to install and use.', 'If you want to make your own Kotatsu I defenitly recommend getting this. Make sure to read the instructions and take note of all of the warnings, though they are all pretty common sense. Would recommend :)￼', 'I have been using this Metro replacement heater for more than 10 years, and it has been trouble free, and electrioc bill is so low.   I deeply appreciated.', 'The kotatsu heater was exactly what I needed. It shipped super fast and works perfectly!', 'It works.', 'Es un muy buen producto, funciona a la perfección y de muy buena calidad']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Metro,"Electric, Fan",Unit Heater,,KOTATSU,,,,Dial,MSU-501H(K),100 V,,,501-600 W,,Quartz tube heater,,,,,290mm,MSU-501H(K),,41mm,290mm,,,,,,,,,,,Black,,4948309101430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Ceramic Oscillating Tower Space Heater Lasko Full Circle 25 in. 1500W,83.2,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unknown,Electric,Portable Heater,,,,Ceramic,2,['Remote Control' 'Digital'],6462,120 V,['Oscillation' 'Timer'],,,,,,,,,,6462,,,,,,,,,,0726084654587,,,,Gray,,313050525578,,,,,,,,,Indoor,,,,,,,,,,,,,,['Compliant' 'Not Compliant'],Medium,11,Digital DisplayNonslip BaseOscillationRemote ControlThermosta,1500,,300,Electronic,Ceramic,11,125,ETL Listed,,25,72,120,Electric,9,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasko,,,Electric Portable Heater,Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater, Tower Heater with Oscillation ECO Thermostat, 1500W Portable Heate",80.06, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Corded Electric,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0726084475878,,,,Piano Black,,726084475878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Heater 1500W Portable Positive Thermal Coefficient Oscillating Portable,80.53,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",GreenTech Environmental,Electric,Portable Heater,,Floor,,Plastic,3 Heat,,,,,,1001-1500 W,,,,,,,,pureHeat WAVE,,,,,,,,,,0744110280814,,,,Black,,744110280814,,,,,,,,,Indoor,,,,,,,,,,,,,,,Small,10.00 in,"Digital Display,Oscillating,Timer",1500 W,Blacks,30,Pushbutton,Bladeless,10.00 in,12.5 A,"ETL Listed,UL Certified","Auto Shut Off,Tip-Over Safety Switch",10.90 in,75.5,100,Electric,7.72 lb,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko, 22"" Ceramic Tower Heater w Remote, Oscillating, Portable",85.0, ,"['I had gotten this one as a replacement for the same one I had that died and am so pleased it is just as great! It was hard finding this specific one, but luckily I found it for a good price on here. ', 'Just works great and I love it!', 'for a smaller Lasko it really heats up room in no time at all , love this model!', ""Haven't had a chance to use in really cold weather, but it warms our family room adequately without any noise."", 'It heats great and arrived on time', 'Nice product 👌', 'Works well and the price was right, I bought two.', 'Good product ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Tower Heater,Forced Air/Fan,"Floor, Desk/Tabletop",,Ceramic,3,"Remote Control, Digital",Lasko CT22445,120 V,"Digital Display, Timer",,1001-1500 W,,Ceramic,,Standard,,,"10.77""",,,,"7.59""",,,,,,,,,,,Black,,0046013777775,China,8 hrs,,,,,,,,,,No,,,,,2020,6 Ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ2018CN Digital Infrared Quartz Cabinet Space Heater with Remote,84.0,30-day returns,"['So far been doing a great job keeping my room warmer and I like the three heat settings as well as the adjustable thermostat feature nice little heater', 'Does exactly what it says it will do.  Attractive and very quiet compared to other brands I tried!', ""heats well....and is 'silent'.....and it weighs 'almost nothing'...Excellent value. Nothing bad....easy to big up.   directions are in good English....."", 'This heater outperforms others that I have used. I’m happy with the purchase. I give it a thumbs up for sure!The heater has many settings from low, high, and economy. Heat temp is adjustable to put off more if needed.', 'Really heats up the RV during the Texas Ice Storm when we had power.', ""It's so nice to have heat. This one is so much better than the last one. The dogs live in front of it. It works really well. I am very happy with it!"", 'I just tried it out for the first time today seems to be a good investment', 'Warms my bathroom to toasty in 5 minutes, quiet and efficient. We love it!', ""AWESOME HEATER HEATS BETTER THAN ANY HEATER I'VE HAD."", 'Good price and good quality ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,Electric,Portable Heater,Infrared,"Floor, Wall, Desk/Tabletop, Cabinet",,"Wood, Aluminum, Steel",2,"Dial, Switch, Remote Control, Push Button, Digital, Touch, Analog/Mechanical",CZ2018,120 V,"Auto Shut-off, Timer, Oscillation",,1001-1500 W,Coil,Brass,Less Than 80%,None,5000-5999 BTU,100 sq ft or Less,,CZ2018-EC,6.1-7,11 in.,,1 gal or Less (5 L),,,,,,0075877003867,,,,Black,,0075877003867,,15 Minutes,Infrared,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADT Pulse,,15.16 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMFORT ZONE 1000W INFRARED QUARTZ DELUXE HEATER MODEL CZ2011P - GREAT SHAPE,82.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",comfort zone,Electric,Portable Heater,Radiant,"Cabinet, Floor",,"PLASTIC, Steel",MULTIPLE - TEMP OPTIONS,"Digital, Push Button, Touch",Comfort Zone CZ2011P,120 V,Timer,,901-1000 W,,Steel,,,,,11 INCHES,CZ2011P,,13 INCHES,,,,,,,,,,,,Black,,N/A,,YES,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5 INCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Bladeless 1500-Watt Electric Ceramic Oscillating Space Heater W/ Remote,80.0, ,"['The slim design takes up little space, it puts out heat very quickly and the remote control is a great feature!', 'After doing a lot of research I chose this heater because it had reviews from others saying it heated large rooms. I have an open kitchen to LR and it does heat up both so much that I have to run on low I get to hot. My previous heater was also a lasko. But the difference with this one is it heats the air not objects in the room. I would buy another. Differences are infared heats objects in room convection heats the air. ', 'I thought by it being blameless it would be silent operation but it is a little noisy. Otherwise nice design.', '   I have been using this heater for about ten days and it still emits a very strong unpleasant smell when turned on. It lasts about twenty min into the use of it. I WILL be returning it as I can no longer tolerate the smell as it makes both me and my wife nauseous. ', 'works great']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Lasko,Electric,Portable Heater,,Floor,,Ceramic,2,"Remote Control, Digital, Touch",Lasko AW315,120 V,"Auto Shut-off, Timer, Oscillation",,1001-1500 W,,,,,Less Than 2000 BTU,,,AW315,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFL New England Patriots Infrared 600W+1200W Helmet Heater New In Box  Licensed,84.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
