Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,UPC,Color,Timer Control,Refrigerant,Year Manufactured,Smart Home Compatibility,Air Direction,Cable Length,Current Rating,Tonnage,Smart Home Protocol,Location,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Assembled Product Weight,Manufacturer,ISBN,Country/Region of Manufacture,Power (W),Unit Type,Design,Voltage Supply,Custom Bundle,Energy Star,Manufacturer Warranty,Product Weight (lb),Baseboard Heating Type,Hydronic,Product Width (in),Product Height (in),Product Length (in),Power/Fuel Type,Thermostat,Heating Product Type,Wattage (watts),Voltage (volts),Heat rating (BTU/hour),Product Depth (in),Heating Technology Type,Vented,Certifications and Listings,Bundle Listing,Part/Accessory Type,Style,Heater Style,Area Heated (Sq Ft),Heater Controls,Room Size,Heater Type,Amperage (amps),Voice Control Hub Required,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Remote Access,Portable Heater Features,Smart Home,Requires Hub?,Works With,Power Options,Size,Heating Method,Item Dimensions LxWxH,Heat Output,Style Name,Power Type,Recommended Location,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Hanger Type,Number of Bars,Heating Wattage,Length,Width,Height,SKU,Item model number,Warranty Description,Assembly Required,Product Dimensions,Country of Origin,Batteries Required?,Item Weight,Number of Pieces,Included Components,Model No.,Wattage,Battery Size,Depth,Number of Batteries,Battery Life,Motor Type,Battery Included,Bundle Description,Weight,Battery Capacity,UL Listed,Energy Rating,SHIPPING,RETURN,ITEM LOCATION,International buyers,New Title,Prop65_fl,Prop65Warning,Manufacturer Color,Recommended Environment,Resistance Properties,ItemWidth,ItemLength,ItemHeight,item_width,item_length,Fuel Type,Room,Suitable For,Watts,Binding,Warranty,Studio,Publisher,ProductTypeName,PackageQuantity,NumberOfItems,Label,ProductGroup,750 Watts,1500 Watts,Living Room Safe,Bedroom Safe,Stage,Approved,Mobile Home Safe,frequency,state limitations,Number of Cool Speeds,Price,USA Seller,Product use,Customer service,Limited time offer,Shipping Exclusions,manufacturer_part_number,Pack Size,Fit,Quality,Tax,Heating Element Type,Cord Length,Plug Type,Heating BTU,Watt,Dimension,Item Weight Major,package_length,PartNumber,Platform,PackageHeight,PackageLength,PackageWidth,PackageWeight,ItemWeight,Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,Second eBay Category,Set Includes,Gift
"Space Heater, 1500W Fast Heating Portable Electric Heater with Remote, 3 ",99.69, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does Not Apply,,,,,,,,,PE-HE006,,,,,,,,,,,,Does Not Apply,,,,,,,,,,Does Not Apply,Does Not Apply,Black,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitchen,12 month,Does Not Apply,Does Not Apply,SPACE_HEATER,1,1,Does Not Apply,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Comfort 1500-Watt 120-Volt Tower Ceramic Space Heater HC-2017 Pack of 2,97.51,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Pelonis,Electric,"Unit Heater, Tower Heater",Ceramic,,,Ceramic,2,Dial,HC-2017,120 V,,,1500W,,,,,5200,,,"HC-2017, HC2017",,,,,,,,,,0750545104953,0750545104953,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAYTON 53TY90 Prtbl Elct Heatr,Gray,25-1/4"" H",95.5, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DAYTON,,,,,,,,,53TY90,120VAC,,,,,,,,,,,53TY90,,,,,,,,,,,190735898123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikota 1500Watt Heater Blower Attachment for Industrial Portable Fan Air KP,, , ,,Nikota,,,,,,,,,,,,,,,,,,,,,"Does Not Apply, 07398",,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LifeSmart HT1269UV 6-element Infrared Heater With Front Intake Vent And Uv Light,95.46,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LifeSmart,,Space Heaters,,,,,,,HT1269UV,,,,,,,,,,,,ht1269uv,,,,,,,,,,,817223019715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater F242010 4,000 BTU Golf Cart Heater",99.99, ,"['the actual heater is great. Easy to use and works every time. Problem is with the lower portion that fits into the cup holder. Entire unit is extremely top heavy and can very easily tip out of the cup holder. The fit into the cup holder in my club car golf car is loose and poorly designed. I would not reccomend this item.', 'Have bought 3 different style heaters in 3 years to use golfing (with cart covers) and this Mr. Heater unit is the best. Regarding cost, starting ease, overall warmth, and quality construction this is by far the best heater on the market. Four players in my gaggle of friends (playing in the winter) own this unit and are thoroughly pleased with its performance and durability. If you winter golf, Buy It!', 'I last owned a Coleman brand Golf Cart Heater....it lasted about 10 years and finally died. I purchased this MH4GC unit next and it is not as good as the Coleman unit, but the Coleman unit is no longer made, so I\'m stuck with this one. Couple of issues...first and foremost, this heater is way top heavy so it will NOT stay put in a golf cart cup holder...the slightest bump and it flies right out of the cart\'s cup holder and if it lands on a person, they will get burned....I know, because it happened to me! I now have it ""tied"" in place with a bungee cord when I use it. No way could the manufacturer have tested this properly...my golf carts are 2017 model electric EZ Go Golf Carts. Second, there is no variable control on the heat...it\'s either wide open or shut off. I\'m not crazy about that, it does consume fuel at a higher rate than one with an adjustable propane flow valve, but you\'re compelled to live with it if you want heat. If I can find another option when this one dies, I will undoubtedly try it.', ""Pretty simple to operate. Screw in 1 lb camper gas canister, press 'on' button a couple of times until it lights and you have heat. To turn it off hit the 'off' button. I ordered it for use in a golf cart.  Nothing to put together other than putting the canister into the holder and setting it into a cup holder."", ""I had to ding this product because the poorly designed tip-over switch defeats the premise of the product.At even the tiniest bump in the cart path or fairway this heater turns itself off -- you will have to re-light 30+ times per round.It's a shame because it does put out nice heat and is otherwise effective and generally a fair price.The manufacturer missed the mark here."", 'Used it in my side by side this past week while hunting. Takes the rocky roads really well, the stiff north wind did blow it out a couple of times while driving around but overall it worked really well. I would recommend it and it really helps keep you warm while driving around the deer lease.', 'This heater works great in a covered cart, in fact it can get too warm, even when the outside temps  are in upper 30s and lower 40s.  In an open cart you feel the heat when the cart is stationery, however when moving or winds over 10 mph you can feel the heat.  The holder works in the smaller cart cup.Suggest they need to have an adjustable temp knob.All in all, I like the Mr. Heater portable golf cart heater.   ', ""I have something similar to this in my shop, but they are bigger, but when they heat up the screens glow orange, this little one doesn't do that so I thought it wasn't working correctly. But if you do like the instructions say and make sure the pilot is lit. Then leave it alone it will start producing heat. "", ""Mr. Heater that I got was brand new and worked great.  I even got it 1 day earlier than expected.  I've already used it 3 times and it has worked great!"", ""I read all the reviews I could find on this heater before purchase, so expected a good product.  It had to sit under the tree for a few days but Christmas morning it was installed in the cart!  It has been out on one excursion and all the guys wanted to 'ride in the warm cart'.  The hubbby is more than pleased!It sits steady in the front cup holder, is cool to the touch on all sides (well not the front of course), and works instantly!  More than pleased hubby here...........""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Propane,20613,Radiant,,,,1,Switch,,,,,,,,,,,,,F242010,,,,,,,,,,0089301000223,0089301000223,Black,,,1998,,,0in.-14in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golf Cart Heater 4000 BTU Liquid Propane Wind Resistant Portable Car Vehicle New,95.99, ,"['the actual heater is great. Easy to use and works every time. Problem is with the lower portion that fits into the cup holder. Entire unit is extremely top heavy and can very easily tip out of the cup holder. The fit into the cup holder in my club car golf car is loose and poorly designed. I would not reccomend this item.', 'Have bought 3 different style heaters in 3 years to use golfing (with cart covers) and this Mr. Heater unit is the best. Regarding cost, starting ease, overall warmth, and quality construction this is by far the best heater on the market. Four players in my gaggle of friends (playing in the winter) own this unit and are thoroughly pleased with its performance and durability. If you winter golf, Buy It!', 'I last owned a Coleman brand Golf Cart Heater....it lasted about 10 years and finally died. I purchased this MH4GC unit next and it is not as good as the Coleman unit, but the Coleman unit is no longer made, so I\'m stuck with this one. Couple of issues...first and foremost, this heater is way top heavy so it will NOT stay put in a golf cart cup holder...the slightest bump and it flies right out of the cart\'s cup holder and if it lands on a person, they will get burned....I know, because it happened to me! I now have it ""tied"" in place with a bungee cord when I use it. No way could the manufacturer have tested this properly...my golf carts are 2017 model electric EZ Go Golf Carts. Second, there is no variable control on the heat...it\'s either wide open or shut off. I\'m not crazy about that, it does consume fuel at a higher rate than one with an adjustable propane flow valve, but you\'re compelled to live with it if you want heat. If I can find another option when this one dies, I will undoubtedly try it.', ""Pretty simple to operate. Screw in 1 lb camper gas canister, press 'on' button a couple of times until it lights and you have heat. To turn it off hit the 'off' button. I ordered it for use in a golf cart.  Nothing to put together other than putting the canister into the holder and setting it into a cup holder."", ""I had to ding this product because the poorly designed tip-over switch defeats the premise of the product.At even the tiniest bump in the cart path or fairway this heater turns itself off -- you will have to re-light 30+ times per round.It's a shame because it does put out nice heat and is otherwise effective and generally a fair price.The manufacturer missed the mark here."", 'Used it in my side by side this past week while hunting. Takes the rocky roads really well, the stiff north wind did blow it out a couple of times while driving around but overall it worked really well. I would recommend it and it really helps keep you warm while driving around the deer lease.', 'This heater works great in a covered cart, in fact it can get too warm, even when the outside temps  are in upper 30s and lower 40s.  In an open cart you feel the heat when the cart is stationery, however when moving or winds over 10 mph you can feel the heat.  The holder works in the smaller cart cup.Suggest they need to have an adjustable temp knob.All in all, I like the Mr. Heater portable golf cart heater.   ', ""I have something similar to this in my shop, but they are bigger, but when they heat up the screens glow orange, this little one doesn't do that so I thought it wasn't working correctly. But if you do like the instructions say and make sure the pilot is lit. Then leave it alone it will start producing heat. "", ""Mr. Heater that I got was brand new and worked great.  I even got it 1 day earlier than expected.  I've already used it 3 times and it has worked great!"", ""I read all the reviews I could find on this heater before purchase, so expected a good product.  It had to sit under the tree for a few days but Christmas morning it was installed in the cart!  It has been out on one excursion and all the guys wanted to 'ride in the warm cart'.  The hubbby is more than pleased!It sits steady in the front cup holder, is cool to the touch on all sides (well not the front of course), and works instantly!  More than pleased hubby here...........""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unknown,Propane,Does not apply,,,,,,,F242010,,,,,,,,,,,,F242010,,,,,,,,,,0744759601469,744759601469,Black,,,,,,,,,,,950 x 775 x 950 Inches,F242010,4 lbs,Mr Heater Inc,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Propane,Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broan 120 Wall Heater, 500 1000 Watt VAC, White Grille",95.0, ,"['Fantastic heater. It performs much better than I expected. Excellent quality and really easy to install. It heats really well and is very quiet.', 'This is a great little heater. I will be ordering another. Thank you.', 'Very pleased', 'What I orded', 'Not as good as the one I own bought back in the 1970sbut over all a good heater for size.The old one still work perfect and puts out better heat.', 'If you want cheap then get it.  Bought 10, only 7 has no problem...']",,Broan-NuTone,Electric,,,Wall,,Steel,1,Dial,Broan 120,120 V,,,,,,,,,,,120,,,,,,,,,,,0026715004409,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caframo 13205954 True North Deluxe 9206 120vac High Performance Space Heater -,100.0,30-day returns,"['I bought this heater to use on my boat. We spend weekends on the boat through the winter but it’s seldom  sub zero . Used the heater for the first time and it performed better than I expected. It is very stable and well constructed. It does not get overly hot which I like for safety reasons. The fan is more than adequate and it took no time to make the salon and galley very cozy and comfortable. It has a setting that turns the unit on at low heat and fan speed if temp hits 37•F (as I recall) great purchase.', 'This heater is the best I have ever had. Its made in a 1st world country (Made in Canada) using 1st world materials, extremely high quality heater with a 5 year warranty and heats a room quickly and moves a lot of heat and air with its centrifugal impeller fan. This heater will outperform and outlive any heater made in China.', 'It is small but very efficient and works well. We use it in our vacation houseboat when the chilly weather hits here in VA. Great for small spaces such a a bedroom or bathroom. ', 'I got this heater to use as a Partial heater to save on my Lp gas in my camper and so far it does wonderful', 'Great Heater.  Used in Travel Trailer.  Just what I needed to heat the inside.  Has thermostat that cuts heater on and off when you set it.', 'Great product', 'Exactly as advertised ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Caframo,Electric,Space Heater,Forced Air/Fan,"Wall, Desk/Tabletop, Cabinet",,Steel,,"Dial, Rotary Knob, Switch",9206CABBX,12 V,"Auto Shut-off, Timer",,1001-1500 W,,,,,,,11in.,9206CABBX,,11 in,9.5in.,,,,,,,0062503920605,0062503920605,Black,,,,,,150 ft²,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimplex Garage Workshop Heater DGWH4031G,99.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Dimplex,Electric,Space heater,,,,,,,Dimplex DGWH4031G,240 V,,,,,,,,,,,,,,,,,,,,,,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagu PowerFlame 23 Inch Electric Fire 1500w Heater Log Effect - Dent,98.14,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Tagu,,,,,,,,,,,,,,,,,,,,,23PF1B-Disc,,,,,,,,,,5054614156924,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo Radiator Heater, 2021 Upgrade 1500W Electric Portable Space Oil Filled H...",99.99, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Dreo,Oil,Portable Heater,,,,,,,,,,,,,,,,,,,DR-HSH005,,,,,,,,,,Does not apply,Does not apply,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR. HEATER F273767 Pack of 6,98.97,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",MR. HEATER,,,,,,,,,,,,,,,,,,,,,F273767,,,,,,,,,,,089301737679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orpat OCH 1420 Ergonomic Design Climate Control Portable Carbon Room Heater ,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Orpat,Electric,Carbon Heater,Radiant,Floor,,Metal & Grille Material Steel,2,,OCH 1420,240 V,,,600 W & 1200 W,Strip,,,,,151-200 sq ft,14 Cm Approx,Does Not Apply,,,27 Cm Approx,,,,,,,,Does not apply,Brown,,,,,,,,,Infrared,,,,,,,India,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76 Cm Approx,,,,,,,,,,,,,,,,,,,,2500 Gram Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARKEL PRODUCTS 3320EX33 Surface Mounting Frame,20-23/16""x15-7/8""",98.45, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",MARKEL PRODUCTS,,Electric Wall Heater Accessories,,,,,,,3320EX33,,,,,,,,,,,,3320EX33,,,,,,,,,,,686334378451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Storm HS-1500-TT 1500W Infrared Space Heater with Tripod,99.0, , ,,Heat Storm,Electric,Portable Heater,Infrared,"Floor, Wall",,Aluminum,1,Switch,Heat Storm HS-1500-TT,110 V,Auto Shut-off,,1001-1500 W,Coil,Steel,DOES NOT APPLY,None,5000-5999 BTU,251-300 sq ft,8 in,HS-1500-TT,11.1-12,DOES NOT APPLY,24 in,DOES NOT APPLY,,,,,,,0854271005277,Silver,DOES NOT APPLY,DOES NOT APPLY,2021,DOES NOT APPLY,1-Way,13 ft,10.1-15 A,DOES NOT APPLY,Infrared,,,,,,,China,,,,,No,A+,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Ceramic Mini Electric Fireplace Space Heater Red NEW Fast Ship,99.99,30-day returns,"['This is perfect for a small space like a bathroom or bedroom. My FIL gave us our first one and we have had it for over a year and love it so much that we wanted another one for the other bathroom/room. Little but powerful.  The only drawback is the hum of it running, but most heaters have that.', 'This attractive heater warms cold hands &amp; the room quickly!  It also works great when placed on low volume beneath sink to prevent pipi from freezing.  Wish I had 2 more!!', 'Works great! This puts out a lot of heat, isn\'t too noisy, and is just the right size for my small camper trailer. The ""just the lights"" setting is nice if you just want to look at a pretty fire without the heat too.', ""Love it! It warms up my medium size room in no time. It doesn't take up much space and is powerful. And the cozy fireplace is calming. It makes me feel safe with it turn off switch if it tilts over."", ""Pumps a lot of heat, especially for its size. It's compact and portable, yet heats larger rooms than expected. The fireplace feature is also quite relaxing and enjoyable to look at. "", 'Works great!  Love the 3D flames and the fail safe of shutting off when you lift it up.  It can heat up a whole entire basement no problem.  It’ll keep me nice and toasty this winter since my steam radiator barely works in my apartment!  ', ""I bought this heater to use to warm a living room with vaulted ceilings. It has a cool LED flame effect that can be used alone or in conjunction with heat.  I find that the lowest setting is more than adequate for keeping the living room warm. The only thing that could be better would be if it had a thermostat. Otherwise it's pretty much perfect.  The fan is silent and I have to get next to it to barely hear it running. I'd highly recommend it to anyone. "", ""Produces the right amount of heat for the space I'm where I have it.  Nothing bad about this unit.  Highly recommended."", 'I love this small heater! It puts out a lot of heat and it’s decorative like a real wood burning fire. I use it in my living room which a big space, and it heats it really well. I love my purchase, and I do recommend this product. ', 'Great heater for my bathroom! And a cute little fireplace to look at too :)￼￼']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,Electric,"Unit Heater, Air Heater",Convection,"Portable, Wall",,"Ceramic, Plastic, Metal, Steel",3,"Dial, Switch",CZFP1,120 V,"Handle, Cool-Touch Exterior, Carrying Handle, Comfort Zone Czfp1 Mini Electric Fireplace, dual wattage, Wall Mountable, Carrying Handle,Overheat Protection, Automatic Shut-Off,Cool-Touch Exterior,Overheat Protection,Power Indicator, Adjustable Height, Handle,Mini, 600/1200W, Bladeless, Mini, Overheat Protection, Heater, Adjustable Thermostat, Indoor, Portable, Carry handle,Safety tip over power cut off switch,Simulated flame,Dual wattage, 600/1200W,3 position rotary heat controls,Portable, Dual wattage for heat control , Ceramic red , 3-position rotary switch , ETL listed , Safety temperature overheat cutoff switch & safety tip-over power cutoff switch , High-efficiency PTC ceramic heating elements, Automatic Shutoff,Tip-Over Safety Switch,Portable, Power Indicator, Portable,Thermostat,Overheat Protection,Wall Mountable,Power Indicator, Tip-Over Safety Switch, Mini Fireplace with simulated 3D flames has high efficiency, Carry Handle, Adjustable Thermostat, Bladeless, Safety temperature overheat cut off switch, On/Off switch",,1200,,,,,,750 to 999 sq ft,12 in Box Size,"125062, CZFP1",,,,,,,,,,,0075877125064,"Red, Multi-Color, Beige, Black",15 Minutes,,,,,,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
